scenario,runs,pca64_margin_median_mean,pca64_margin_p10_mean,pca64_negative_margin_fraction_mean,raw128_condition_number_median,pca64_condition_number_median,raw128_effective_rank_median,pca64_effective_rank_median,raw128_n_over_d_median,pca64_n_over_d_median,covariance_bootstrap_frobenius_relative_mean,validation_delta_nll_full_mean,validation_relative_delta_nll_full_mean,validation_delta_macro_f1_full_mean,coverage_r1_variance_mean,coverage_r2_variance_mean,delta_coverage_variance_r1_minus_r2_mean,outcome_r2_minus_r1_auroc_mean
a1,5,11.002230264847558,8.740235628592524,0.06367284490295506,49603.91459238836,9361.611580685498,9.160893503746713,8.71515590127178,12.5,25.0,0.1113646680980475,85.51045579347847,15.74242794539651,-0.01201243398523033,0.06847759478020596,0.04783178645273707,0.020645808327468883,-0.024045000000000004
a2,5,11.187386958494853,9.01525124957874,0.07241215555989838,52648.38285547776,9908.243143233023,8.215566643987346,7.892465879473379,12.5,25.0,0.1021384597738942,86.31737457402633,36.94057552417509,-0.005346139612081901,0.08339042969766407,0.05948732649780557,0.023903103199858507,0.03482111111111108
a3,5,12.851756925760219,10.390072129161828,0.02266157253599114,44537.92436528759,9109.74738528404,8.656559022632656,8.134245926357782,12.5,25.0,0.09600766888781698,86.12288292071052,22.468411019997696,-0.005046530588087151,0.07093736330749353,0.06434030548644913,0.006597057821044404,0.002600228272478544
