setting,runs,validation_accuracy_mean,validation_accuracy_std,validation_accuracy_min,validation_accuracy_max,validation_macro_f1_mean,validation_macro_f1_std,validation_macro_f1_min,validation_macro_f1_max,validation_weighted_f1_mean,validation_weighted_f1_std,validation_weighted_f1_min,validation_weighted_f1_max,weak_run_count_macro_f1_lt_0_35
Low,5,0.8781063363539795,0.04004267488259846,0.8419567262464722,0.935453251067869,0.7906352307573792,0.07363479911511413,0.6819338792663903,0.8849855857591876,0.868514895772857,0.039254726914827766,0.8364872992678539,0.9349944802333929,0
Medium,5,0.8389283449133311,0.16089295742558749,0.5871121718377088,0.9952904238618524,0.8296235539678051,0.11113899748782649,0.7042794600171607,0.9833179712297598,0.8296151472624878,0.15843837882113426,0.5877476898431291,0.9952233415098174,0
High,5,0.8871478589306323,0.09158487122521765,0.7743431221020093,0.9958049292081804,0.8724526955394445,0.07803859596598492,0.7655346215227185,0.9830008225224129,0.8803034313501792,0.09389044405286641,0.7674800405052496,0.9958122370182609,0
Overall,15,0.8680608467326476,0.10353765208372068,0.5871121718377088,0.9958049292081804,0.8309038267548762,0.08952392679020804,0.6819338792663903,0.9833179712297598,0.8594778247951744,0.10311991842392224,0.5877476898431291,0.9958122370182609,0
