application,f1,local_label,precision,protocol_id,protocol_seed,recall,setting,support
scp,0.7044025157232704,3,0.5503685503685504,low_seed2026,2026,0.9781659388646288,Low,229
skype,0.9920634920634921,4,0.9920634920634921,low_seed2026,2026,0.9920634920634921,Low,126
ssh,0.9937660432709937,5,0.9883296863603209,low_seed2026,2026,0.9992625368731564,Low,1356
vimeo,0.9836065573770492,6,0.975609756097561,low_seed2026,2026,0.9917355371900827,Low,121
zoiper,0.983957219251337,7,0.9787234042553191,low_seed2026,2026,0.989247311827957,Low,93
netflix,0.8648648648648649,0,0.9411764705882353,medium_seed2022,2022,0.8,Medium,20
rsync,0.7293064876957495,1,0.63671875,medium_seed2022,2022,0.8534031413612565,Medium,191
sftp,0.532319391634981,2,0.7216494845360825,medium_seed2022,2022,0.42168674698795183,Medium,166
ssh,0.9977924944812362,3,0.9955947136563876,medium_seed2022,2022,1.0,Medium,1356
vimeo,0.9795918367346939,4,0.967741935483871,medium_seed2022,2022,0.9917355371900827,Medium,121
youtube,0.9696969696969697,5,1.0,medium_seed2022,2022,0.9411764705882353,Medium,34
zoiper,1.0,6,1.0,medium_seed2022,2022,1.0,Medium,93
rdp,0.75,0,0.75,medium_seed2023,2023,0.75,Medium,4
rsync,0.4,1,0.37850467289719625,medium_seed2023,2023,0.42408376963350786,Medium,191
scp,0.42516268980477223,2,0.4224137931034483,medium_seed2023,2023,0.4279475982532751,Medium,229
sftp,0.43790849673202614,3,0.4785714285714286,medium_seed2023,2023,0.4036144578313253,Medium,166
vimeo,0.9831932773109243,4,1.0,medium_seed2023,2023,0.9669421487603306,Medium,121
youtube,0.9444444444444444,5,0.8947368421052632,medium_seed2023,2023,1.0,Medium,34
zoiper,0.989247311827957,6,0.989247311827957,medium_seed2023,2023,0.989247311827957,Medium,93
netflix,0.8648648648648649,0,0.9411764705882353,medium_seed2024,2024,0.8,Medium,20
rdp,1.0,1,1.0,medium_seed2024,2024,1.0,Medium,4
scp,0.7123287671232876,2,0.6453900709219859,medium_seed2024,2024,0.7947598253275109,Medium,229
sftp,0.4731182795698925,3,0.584070796460177,medium_seed2024,2024,0.39759036144578314,Medium,166
skype,0.9960474308300395,4,0.9921259842519685,medium_seed2024,2024,1.0,Medium,126
vimeo,0.995850622406639,5,1.0,medium_seed2024,2024,0.9917355371900827,Medium,121
youtube,0.9295774647887324,6,0.8918918918918919,medium_seed2024,2024,0.9705882352941176,Medium,34
netflix,0.8888888888888888,0,1.0,medium_seed2025,2025,0.8,Medium,20
rdp,0.6666666666666666,1,1.0,medium_seed2025,2025,0.5,Medium,4
rsync,0.010416666666666666,2,1.0,medium_seed2025,2025,0.005235602094240838,Medium,191
scp,0.7009345794392523,3,0.5447941888619855,medium_seed2025,2025,0.982532751091703,Medium,229
skype,0.984375,4,0.9692307692307692,medium_seed2025,2025,1.0,Medium,126
ssh,0.9974236290025764,5,0.9955914768552535,medium_seed2025,2025,0.9992625368731564,Medium,1356
youtube,0.9295774647887324,6,0.8918918918918919,medium_seed2025,2025,0.9705882352941176,Medium,34
netflix,0.918918918918919,0,1.0,medium_seed2026,2026,0.85,Medium,20
rdp,1.0,1,1.0,medium_seed2026,2026,1.0,Medium,4
rsync,0.9894179894179894,2,1.0,medium_seed2026,2026,0.9790575916230366,Medium,191
skype,0.9960474308300395,3,0.9921259842519685,medium_seed2026,2026,1.0,Medium,126
ssh,0.9977908689248896,4,0.9963235294117647,medium_seed2026,2026,0.9992625368731564,Medium,1356
vimeo,0.9918032786885246,5,0.983739837398374,medium_seed2026,2026,1.0,Medium,121
zoiper,0.989247311827957,6,0.989247311827957,medium_seed2026,2026,0.989247311827957,Medium,93
