epoch,learning_rate,prototype_reset,elapsed_seconds,train_total,train_rec,train_kld,train_ent,train_dis,train_accuracy,train_macro_f1,train_samples,val_total,val_rec,val_kld,val_ent,val_dis,val_accuracy,val_macro_f1,val_samples,val_composite_score
1,0.001,False,186.412522315979,0.9935085666408765,0.05316048728706183,48.45975676087898,2.995732307502327,0.7396636391461102,0.7773154774074831,0.6734072119580705,391280,2.128288440664374,0.06134427110964451,37.43817164394368,2.995732307434082,1.9354896598251239,0.605949703537109,0.39578456467403234,48910,0.47882067578074355
2,0.001,False,372.3636336326599,0.2799320459371938,0.05237310332520514,15.643844284988868,2.995732307502327,0.1874093454293838,0.9349826211408709,0.8898607210756857,391280,0.38063441100624584,0.06134427110964451,18.643447051031703,2.995732307434082,0.2734992931346919,0.9110611326927008,0.8674222861931616,48910,0.8887063238150452
3,0.001,False,558.6216259002686,0.21386474193397706,0.05234123105253698,12.273094571623863,2.995732307502327,0.13794864549809402,0.9507922715191167,0.9209664684347674,391280,0.2948799400235997,0.06134427110964451,13.546337240348196,2.995732307434082,0.21292750930717888,0.9271928031077489,0.9165219821728702,48910,0.9218265130215275
4,0.001,False,745.3082685470581,0.1850024601410708,0.052333920411392364,10.604827892207535,2.995732307502327,0.1173246136528903,0.9571815579636066,0.9335227283760625,391280,0.7740415351129071,0.06134427110964451,11.439414887866027,2.995732307434082,0.7050845034989452,0.8800040891433245,0.857081053642843,48910,0.8683913221699991
5,0.001,False,931.5790996551514,0.16879639492715412,0.052345715018198354,9.378562192326063,2.995732307502327,0.10719919106396544,0.9605244326313638,0.940961916556773,391280,0.13148811209106756,0.06134427110964451,7.9297676562190516,2.995732307434082,0.07693858402509847,0.9696994479656512,0.9620298822932831,48910,0.9658494398500553
6,0.001,False,186.64669609069824,0.18087485984982316,0.05236423468905416,9.507832750185115,2.995732307502327,0.11868865734544713,0.9581629523614803,0.9364682996784784,391280,0.113156378016933,0.06134427110964451,7.291836504720759,2.995732307434082,0.061720414839470175,0.9739930484563484,0.9715608792983534,48910,0.9727754436298962
7,0.001,False,373.6546964645386,0.14159917979244316,0.05237279709065236,7.203909772335934,2.995732307502327,0.09079307147944005,0.9653291760376201,0.9501040119947113,391280,0.12995480675379012,0.06134427110964451,6.322804527969064,2.995732307434082,0.08347276545477605,0.969801676548763,0.9587190367528177,48910,0.964228512319537
8,0.001,False,560.4686291217804,0.12921005334073696,0.052341097034095035,6.285398425814126,2.995732307502327,0.08295748230504785,0.9674836434267021,0.955177996784599,391280,0.09932068558624979,0.06134427110964451,6.086923732925256,2.995732307434082,0.05387003459500964,0.9746268656716418,0.9693405756311664,48910,0.9719765330664172
9,0.001,False,747.0539996623993,0.11971083127557805,0.052333783053822906,5.647051554948756,2.995732307502327,0.07661833501902857,0.9694771007973829,0.9589394305026977,391280,0.09520354432011402,0.06134427110964451,4.929705232648707,2.995732307434082,0.05554737193668743,0.9762216315681864,0.9722298825571505,48910,0.9742216681592363
10,0.001,False,933.9571912288666,0.1119628818153092,0.05234559804149333,5.016049275488923,2.995732307502327,0.07200225769979923,0.9705249437742793,0.9614142265942688,391280,0.09645857564500201,0.06134427110964451,4.591171158849279,2.995732307434082,0.05850988711481615,0.9753833571866694,0.974513392320841,48910,0.9749481806822311
11,0.001,False,1120.2931780815125,0.10432814779584575,0.052349640767654984,4.56524453378606,2.995732307502327,0.066594488327579,0.9718769167859334,0.9638801082349249,391280,0.1441473327327289,0.06134427110964451,4.276745647273652,2.995732307434082,0.10801831432207855,0.9581067266407688,0.9281630259150713,48910,0.9428972047540207
12,0.001,False,1307.1625137329102,0.10090775388414644,0.05232960393191895,4.224036035555269,2.995732307502327,0.06487162274601171,0.972582294009405,0.9647291198159851,391280,0.08752628802899763,0.06134427110964451,3.7598176133045267,2.995732307434082,0.05371036893886936,0.9753015743201799,0.9681013264795618,48910,0.9716881120517226
13,0.001,False,1493.7637059688568,0.0989991708054447,0.05237089259962416,4.007155945129956,2.995732307502327,0.06404309131432058,0.9725235125741157,0.965361585889202,391280,0.07308194047193102,0.06134427110964451,3.436819223654682,2.995732307434082,0.04081654428735572,0.9792680433449192,0.980192259925945,48910,0.9797299336733005
14,0.001,False,1680.7513914108276,0.09138454802317553,0.05235303550017219,3.5596294658312253,2.995732307502327,0.058639170268127414,0.9741157227560826,0.9682427648120596,391280,0.35301883556489516,0.06134427110964451,4.496177940314056,2.995732307434082,0.3168367484008634,0.9240237170312819,0.9053207674792402,48910,0.9145766341494864
15,0.001,False,1867.3890116214752,0.09260126307402572,0.05235296463054203,3.530565188087537,2.995732307502327,0.06000805150887348,0.9739726027397261,0.9681938715177673,391280,0.07071359087885389,0.06134427110964451,3.0113425636408495,2.995732307434082,0.0405743676514055,0.97953383766101,0.9797041527824151,48910,0.9796189878190282
16,0.001,False,2054.3554549217224,0.08914932470042826,0.05236195458045549,3.286845785278261,2.995732307502327,0.05776344204797162,0.9748313228378654,0.9699176978476375,391280,0.08382122754026985,0.06134427110964451,3.298267785690236,2.995732307434082,0.052306036380592044,0.9773257002657944,0.9764388165091992,48910,0.9768820570933308
17,0.001,False,188.91957545280457,0.08526625305785891,0.05235717331880539,3.0887818558965328,2.995732307502327,0.054856177543270344,0.9752223471682683,0.970151712232559,391280,0.07497862573294911,0.06134427110964451,2.836889365708455,2.995732307434082,0.04573748382480567,0.9776119402985075,0.9738085951350252,48910,0.9757065613310412
18,0.001,False,188.38928508758545,0.0854673975603733,0.05234771469050793,3.000554603644125,2.995732307502327,0.05550173357033127,0.9748108771212431,0.9694984555099332,391280,0.06580377892985029,0.06134427110964451,2.554867852077823,2.995732307434082,0.03793372577709414,0.9806992435084849,0.9821368691053802,48910,0.981417529832169
19,0.001,False,376.57897996902466,0.08076137741530656,0.0523740200640794,2.725275098207513,2.995732307502327,0.05215524687351588,0.9756287057861378,0.9711920162945666,391280,0.07006429656090923,0.06134427110964451,2.422356450935493,2.995732307434082,0.04288153851252834,0.9800654262931916,0.9783057845527976,48910,0.9791848148836328
20,0.001,False,564.5004923343658,0.08134347768228153,0.05233287644140122,2.695321970857547,2.995732307502327,0.05289099737605759,0.9756235943569822,0.9712004746492313,391280,0.06882902458949923,0.06134427110964451,2.807956081254671,2.995732307434082,0.03970237378569889,0.9805765692087508,0.9819475761204524,48910,0.9812615937762383
21,0.001,False,752.6547400951385,0.08103615188861864,0.05233440418470445,2.6451257495884026,2.995732307502327,0.05283436182542852,0.9761296258433858,0.9722087791441938,391280,0.061373889241980714,0.06134427110964451,2.2212112800447614,2.995732307434082,0.035158241357756394,0.9806379063586179,0.9821516575790034,48910,0.9813941982478658
22,0.001,False,940.6822962760925,0.07739922456813478,0.05236214646116353,2.4527056794740796,2.995732307502327,0.050145954034112025,0.9763468615824985,0.9724790155994661,391280,0.06086466927892517,0.06134427110964451,2.096446398590952,2.995732307434082,0.035273422051428305,0.981312615007156,0.9830939419825453,48910,0.9822024708397902
23,0.001,False,1129.5553150177002,0.07813905534069612,0.05234542154651604,2.462115000342816,2.995732307502327,0.050842303485805526,0.9765768758945002,0.9724879470973267,391280,0.059243515859569565,0.06134427110964451,2.0226264371093956,2.995732307434082,0.03401507689906815,0.9816397464731139,0.9838775440695262,48910,0.9827573713730677
24,0.001,False,1317.9928715229034,0.07727909897873188,0.05233705327115866,2.3543907490568254,2.995732307502327,0.05051939574835174,0.9764363115927214,0.9723856682513077,391280,0.0619724318304388,0.06134427110964451,2.157478694412709,2.995732307434082,0.0360800566909006,0.9822122265385401,0.9836617646224699,48910,0.9829364611717214
25,0.001,False,1506.2306716442108,0.07447783947478431,0.05237495293435181,2.2461722773877764,2.995732307502327,0.04824768064322342,0.9772771416888162,0.9738498149869711,391280,0.05994719228930231,0.06134427110964451,1.945232857441127,2.995732307434082,0.03511120208815743,0.9815988550398691,0.9837813133665343,48910,0.982688872446712
26,0.001,False,1694.0969393253326,0.07426278120265907,0.052349487614885136,2.1734779378724864,2.995732307502327,0.04839696764254395,0.9774637088529953,0.9737881127130212,391280,0.07432207054727234,0.06134427110964451,2.0814554980478266,2.995732307434082,0.048873779188938316,0.9786546718462482,0.978056451136579,48910,0.9783554700451053
27,0.001,False,1882.1597924232483,0.07378447362949356,0.052351956303604445,2.1187841113713883,2.995732307502327,0.048191087530589594,0.9774637088529953,0.9739557819182549,391280,0.06422559454308968,0.06134427110964451,1.9913453116930717,2.995732307434082,0.03917938216536646,0.9815375178900021,0.9834635343143884,48910,0.9824995821995793
28,0.001,False,2070.064377307892,0.07251384636359429,0.05236020826840664,2.0965386914612205,2.995732307502327,0.047025819839820175,0.9789306890206502,0.9751932819763922,391280,0.057192526518479,0.06134427110964451,1.8493042778076751,2.995732307434082,0.032824746044754424,0.9828869351870783,0.9850808310278708,48910,0.9839826602269368
29,0.001,False,2258.351628303528,0.07132577690652142,0.052348611043643134,2.049761858743969,2.995732307502327,0.04606689785800812,0.9800807605806584,0.9763832822151917,391280,0.05435077111663091,0.06134427110964451,1.6186199862882418,2.995732307434082,0.031127928568960832,0.9860151298303006,0.9869078119685314,48910,0.9864612689448989
