class,local_label,support,precision,recall,f1
netflix,0,20,1.0,0.85,0.9189189189189189
rdp,1,4,1.0,0.5,0.6666666666666666
rsync,2,191,0.9836956521739131,0.9476439790575916,0.9653333333333333
skype,3,126,0.9402985074626866,1.0,0.9692307692307692
ssh,4,1356,0.991941391941392,0.9985250737463127,0.9952223447262036
vimeo,5,121,1.0,0.9504132231404959,0.9745762711864406
zoiper,6,93,0.9680851063829787,0.978494623655914,0.9732620320855615
