Setting,analysis_scope,S0 Native KL AUROC,S0 Native KL AUPRC,S1 ProtoMeanOnly AUROC,S1 ProtoMeanOnly AUPRC,S2 EmpiricalCentroidRaw AUROC,S2 EmpiricalCentroidRaw AUPRC,S3 EmpiricalCentroidScaled AUROC,S3 EmpiricalCentroidScaled AUPRC,S4 EmpiricalCentroidPCA64 AUROC,S4 EmpiricalCentroidPCA64 AUPRC,S5 FullK1 AUROC,S5 FullK1 AUPRC,S6 FullK2 AUROC,S6 FullK2 AUPRC
low,POST_HOC_DIAGNOSTIC_ONLY,0.5008302761705445,0.277507971101614,0.4315973470392712,0.2840803069604299,0.7171323813041158,0.5126248378136955,0.6705488530510075,0.4791128668993923,0.6709010525667857,0.4743923086776944,0.8800054372358324,0.7617236613609301,0.892480302843777,0.8073105966776821
medium,POST_HOC_DIAGNOSTIC_ONLY,0.497969682435272,0.5857911548448939,0.412626754097462,0.5234741689219887,0.6664637897641104,0.6976986974671378,0.6838605309799193,0.7103308855644583,0.6742941173783552,0.7012145973245159,0.7797532546730253,0.8572641079025294,0.7953853989658134,0.8697465087388713
high,POST_HOC_DIAGNOSTIC_ONLY,0.4721331037905577,0.6957442447086553,0.3793758514796203,0.6595423705656891,0.686884974253986,0.8312458362210285,0.6959695049320677,0.8316642099584483,0.6871890160679943,0.8260257803881872,0.8044775808052609,0.9238748404147686,0.821250051181835,0.9297080673356424
