setting,class_name,validation_samples,NLL_K1,NLL_K2,DeltaNLL2,K2_validation_NLL_better,interpretation_limit
medium,adblockplus.org,450,16.53997802734375,-33.657859802246094,50.197837829589844,True,density fit only; not Unknown utility
medium,arin.net,451,14.089142799377441,5.62061071395874,8.468532085418701,True,density fit only; not Unknown utility
medium,cloudfront.net,307,9.956311225891113,-10.955416679382324,20.911727905273438,True,density fit only; not Unknown utility
medium,coinbase.com,452,35.26572036743164,24.036951065063477,11.228769302368164,True,density fit only; not Unknown utility
medium,cookielaw.org,145,-20.11302947998047,-38.2581787109375,18.14514923095703,True,density fit only; not Unknown utility
medium,ctfassets.net,425,26.119333267211914,7.611588001251221,18.507745265960693,True,density fit only; not Unknown utility
medium,flipboard.com,276,66.2071762084961,59.45316696166992,6.754009246826172,True,density fit only; not Unknown utility
medium,garmin.com,286,39.53657150268555,20.155452728271484,19.381118774414062,True,density fit only; not Unknown utility
medium,gmx.net,450,31.899320602416992,18.40345001220703,13.495870590209961,True,density fit only; not Unknown utility
medium,google-analytics.com,234,5.896413803100586,-9.419454574584961,15.315868377685547,True,density fit only; not Unknown utility
medium,google.com,355,51.780941009521484,35.465576171875,16.315364837646484,True,density fit only; not Unknown utility
medium,googleapis.com,241,20.602445602416992,5.984076499938965,14.618369102478027,True,density fit only; not Unknown utility
medium,googletagmanager.com,248,21.682350158691406,-0.9048281311988831,22.58717828989029,True,density fit only; not Unknown utility
medium,gstatic.com,217,29.29741096496582,13.80059814453125,15.49681282043457,True,density fit only; not Unknown utility
medium,hsadspixel.net,219,-11.236794471740723,-29.379318237304688,18.142523765563965,True,density fit only; not Unknown utility
medium,hubspot.com,130,-35.69154357910156,-38.77140808105469,3.079864501953125,True,density fit only; not Unknown utility
medium,joinhoney.com,452,33.224449157714844,19.363250732421875,13.861198425292969,True,density fit only; not Unknown utility
medium,like-video.com,450,-0.8206406235694885,-19.021976470947266,18.201335847377777,True,density fit only; not Unknown utility
medium,logitech.com,354,63.86395263671875,53.57747268676758,10.286479949951172,True,density fit only; not Unknown utility
medium,mozilla.net,415,7.514264106750488,-26.767314910888672,34.28157901763916,True,density fit only; not Unknown utility
medium,qualified.com,416,53.06029510498047,19.603557586669922,33.45673751831055,True,density fit only; not Unknown utility
medium,robinhood.com,450,49.731597900390625,24.150598526000977,25.58099937438965,True,density fit only; not Unknown utility
medium,segment.com,367,17.920249938964844,-7.541544437408447,25.46179437637329,True,density fit only; not Unknown utility
medium,sharethis.com,451,52.84719467163086,39.59770202636719,13.249492645263672,True,density fit only; not Unknown utility
medium,steamstatic.com,451,47.01205825805664,46.35661315917969,0.6554450988769531,True,density fit only; not Unknown utility
medium,trustarc.com,388,45.76342010498047,24.47211265563965,21.29130744934082,True,density fit only; not Unknown utility
medium,twitter.com,390,22.31173324584961,3.4491894245147705,18.86254382133484,True,density fit only; not Unknown utility
medium,typekit.net,277,13.174480438232422,-3.723773717880249,16.89825415611267,True,density fit only; not Unknown utility
medium,waze.com,453,15.044122695922852,-5.199748992919922,20.243871688842773,True,density fit only; not Unknown utility
medium,web.de,452,22.081016540527344,7.793801784515381,14.287214756011963,True,density fit only; not Unknown utility
medium,wistia.com,156,58.14051818847656,36.83937454223633,21.301143646240234,True,density fit only; not Unknown utility
medium,xnxx-cdn.com,449,28.03349494934082,16.14840316772461,11.885091781616211,True,density fit only; not Unknown utility
medium,yahoo.co.jp,461,43.192481994628906,28.164188385009766,15.02829360961914,True,density fit only; not Unknown utility
medium,yimg.jp,450,41.32852554321289,24.038463592529297,17.290061950683594,True,density fit only; not Unknown utility
