unknown_service,encoder,runs,known_test_accuracy_mean,known_test_accuracy_std,known_test_macro_f1_mean,known_test_macro_f1_std,known_test_weighted_f1_mean,known_test_weighted_f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std,ufar_mean,ufar_std,known_frr_mean,known_frr_std,open_macro_f1_mean,open_macro_f1_std
Email,E0,3,0.764331210191083,0.23176312609758284,0.6980898561221885,0.28765777104211276,0.7423827083707715,0.26722794473639877,0.7186836518046708,0.12311502071413744,0.6536408271116882,0.10046195228178627,0.9484126984126983,0.030545246663374263,0.03184713375796178,0.006369426751592355,0.4111558715651637,0.17702903670424405
Email,E1,3,0.33121019108280253,0.0,0.09952153110047847,0.0,0.16481272666321276,0.0,0.6051460924072388,0.02188190450461935,0.5543179606364442,0.017167734745081462,1.0,0.0,0.07006369426751592,0.027763687538475627,0.047363342041090994,0.0005677551125422401
Email,E2,3,0.5923566878980892,0.006369426751592355,0.48573615878275556,0.01734279920050789,0.5587698770388462,0.010390664183958984,0.6175690021231421,0.008438488904238152,0.6130059344512085,0.00947979433886072,0.9126984126984127,0.009092412093166378,0.06369426751592357,0.0,0.29154686560406545,0.013782000100850164
Email,E3,3,0.9426751592356689,0.02547770700636942,0.9074797892824207,0.0419281683630008,0.9414284081329098,0.026396972985989475,0.801852694368618,0.03117736110387532,0.7632494363011714,0.01125051975620093,0.8055555555555557,0.12504723219514866,0.05520169851380043,0.0073547804992309,0.535161386696597,0.06082530600749551
Streaming,E0,3,0.7977207977207977,0.2541687399394979,0.6946510814020451,0.3807599994895474,0.7622209027063915,0.3124489690530416,0.6749519714029107,0.10398183608252234,0.9363966426383854,0.021058940099450325,0.8830897703549061,0.010593832531411477,0.039886039886039885,0.013055771210700399,0.1849179318995229,0.0939702435473661
Streaming,E1,3,0.42735042735042733,0.0,0.11976047904191615,0.0,0.2558984594912738,0.0,0.504437069155232,0.04230522754804169,0.8659523508057623,0.01365248806736563,0.9902574808629089,0.01687453813915398,0.02849002849002849,0.00493461768538142,0.0181312864076262,0.005664215772349633
Streaming,E2,3,0.6239316239316239,0.008547008547008517,0.48325335421199506,0.01697198013094403,0.5739247307918532,0.00964090807129099,0.5657084738504362,0.0014614203543310178,0.9384445280485743,0.0002691604124279176,0.7136395267919277,0.004345858036463752,0.025641025641025644,4.2491873609703695e-18,0.24979270251871863,0.00870138371194596
Streaming,E3,3,0.8717948717948718,0.12933970897796201,0.7950841334484778,0.1825048333921158,0.8569523602362471,0.14990939960762012,0.7209702074002701,0.10545229994359176,0.9484299160364041,0.01775777705874721,0.7839248434237995,0.04705397774356843,0.05128205128205129,0.014803853056144253,0.321530179265584,0.08961602758959158
