unknown_service,encoder,runs,known_test_accuracy_mean,known_test_accuracy_std,known_test_macro_f1_mean,known_test_macro_f1_std,known_test_weighted_f1_mean,known_test_weighted_f1_std,known_frr_mean,known_frr_std
Email,E0,3,0.764331210191083,0.23176312609758284,0.6980898561221885,0.28765777104211276,0.7423827083707715,0.26722794473639877,0.03184713375796178,0.006369426751592355
Email,E1,3,0.33121019108280253,0.0,0.09952153110047847,0.0,0.16481272666321276,0.0,0.07006369426751592,0.027763687538475627
Email,E2,3,0.5923566878980892,0.006369426751592355,0.48573615878275556,0.01734279920050789,0.5587698770388462,0.010390664183958984,0.06369426751592357,0.0
Email,E3,3,0.9426751592356689,0.02547770700636942,0.9074797892824207,0.0419281683630008,0.9414284081329098,0.026396972985989475,0.05520169851380043,0.0073547804992309
Streaming,E0,3,0.7977207977207977,0.2541687399394979,0.6946510814020451,0.3807599994895474,0.7622209027063915,0.3124489690530416,0.039886039886039885,0.013055771210700399
Streaming,E1,3,0.42735042735042733,0.0,0.11976047904191615,0.0,0.2558984594912738,0.0,0.02849002849002849,0.00493461768538142
Streaming,E2,3,0.6239316239316239,0.008547008547008517,0.48325335421199506,0.01697198013094403,0.5739247307918532,0.00964090807129099,0.025641025641025644,4.2491873609703695e-18
Streaming,E3,3,0.8717948717948718,0.12933970897796201,0.7950841334484778,0.1825048333921158,0.8569523602362471,0.14990939960762012,0.05128205128205129,0.014803853056144253
