class,local_label,support,precision,recall,f1
netflix,0,20,1.0,0.35,0.5185185185185185
rdp,1,4,0.3,0.75,0.4285714285714285
rsync,2,191,0.4492753623188406,0.6492146596858639,0.5310492505353319
scp,3,229,0.5289855072463768,0.31877729257641924,0.39782016348773847
skype,4,126,0.9836065573770492,0.9523809523809523,0.9677419354838709
ssh,5,1356,0.9955914768552535,0.9992625368731564,0.9974236290025763
youtube,6,34,0.717391304347826,0.9705882352941176,0.825
