row_type,scenario,method,comparison,metric,mean,median,std,min,max,positive_count,negative_count
method_metric,a1,R0,,auroc,0.9952249999999999,0.99745,0.004961885982164436,0.986575,0.998825,,
method_metric,a1,R0,,auprc,0.991403539644223,0.9970774327965742,0.01193813202963701,0.970311913457604,0.9987183192584876,,
method_metric,a1,R0,,binary_f1,0.9789247044531597,0.9778869778869779,0.0036212729747772503,0.975609756097561,0.9828009828009828,,
method_metric,a1,R0,,ufar,0.002,0.0,0.0027386127875258306,0.0,0.005,,
method_metric,a1,R0,,known_frr,0.041,0.04,0.00894427190999916,0.03,0.05,,
method_metric,a1,R0,,known_macro_f1,0.9254027285012191,0.9300714993533665,0.010984938744726216,0.911532630272742,0.9380056169545876,,
method_metric,a1,R1,,auroc,0.9951699999999999,0.9962,0.0036443192093997363,0.98895,0.997925,,
method_metric,a1,R1,,auprc,0.9897144208691291,0.9941717656862525,0.012131997331010318,0.968446237173811,0.9974784404023542,,
method_metric,a1,R1,,binary_f1,0.9770309668235593,0.9778869778869779,0.003976765724179859,0.970873786407767,0.9803921568627451,,
method_metric,a1,R1,,ufar,0.001,0.0,0.00223606797749979,0.0,0.005,,
method_metric,a1,R1,,known_frr,0.046,0.04,0.008944271909999158,0.04,0.06,,
method_metric,a1,R1,,known_macro_f1,0.9346943412773102,0.9378643255207321,0.01298595395168417,0.9127707211881605,0.9450231608142369,,
method_metric,a1,R2,,auroc,0.971125,0.9750749999999999,0.013747272456745728,0.9475,0.9836,,
method_metric,a1,R2,,auprc,0.9383125952797107,0.9355922491279053,0.029287605844867056,0.9037427159330167,0.9789031347430683,,
method_metric,a1,R2,,binary_f1,0.8936925702949254,0.9504950495049505,0.11484683922463916,0.7033639143730887,0.9732360097323601,,
method_metric,a1,R2,,ufar,0.135,0.04,0.18384776310850234,0.0,0.425,,
method_metric,a1,R2,,known_frr,0.052000000000000005,0.055,0.012549900398011134,0.03,0.06,,
method_metric,a1,R2,,known_macro_f1,0.9397107717901445,0.9372011346112551,0.012672420572222147,0.9281892555150809,0.957602244414291,,
method_metric,a1,R3,,auroc,0.947935,0.9653,0.04048693307722874,0.87565,0.96875,,
method_metric,a1,R3,,auprc,0.9109042068060458,0.9344625467679191,0.0574875639799333,0.8123489612369726,0.9538629469974931,,
method_metric,a1,R3,,binary_f1,0.7441314817202437,0.8854166666666666,0.22867903886209218,0.3816793893129771,0.9033942558746736,,
method_metric,a1,R3,,ufar,0.33399999999999996,0.15,0.280031248256333,0.135,0.75,,
method_metric,a1,R3,,known_frr,0.05500000000000001,0.06,0.013228756555322954,0.035,0.07,,
method_metric,a1,R3,,known_macro_f1,0.92510094998272,0.9295108948050391,0.014707734642227722,0.9004259962337811,0.9377824638368102,,
paired_delta,a1,,R1-R0,delta_auroc,-5.499999999998284e-05,-0.0004999999999999449,0.001465584354447067,-0.001375000000000015,0.002375000000000016,2,3
paired_delta,a1,,R1-R0,delta_auprc,-0.0016891187750939895,-0.001865676283793083,0.0011288763544433252,-0.003112362318361095,-7.054041026699487e-05,0,5
paired_delta,a1,,R1-R0,delta_binary_f1,-0.0018937376296005448,0.0,0.006648195489076821,-0.011927196393215822,0.004782400765184103,2,2
paired_delta,a1,,R1-R0,delta_ufar,-0.001,0.0,0.0022360679774997894,-0.005,0.0,0,1
paired_delta,a1,,R1-R0,delta_known_frr,0.004999999999999999,0.0,0.013228756555322952,-0.010000000000000002,0.024999999999999994,2,1
paired_delta,a1,,R1-R0,delta_known_macro_f1,0.009291612776091297,0.007017543859649256,0.018744432344209815,-0.017300778165206032,0.031938809963350634,4,1
paired_delta,a1,,R2-R0,delta_auroc,-0.02409999999999999,-0.022375000000000034,0.009681005887819736,-0.03907499999999997,-0.012099999999999889,0,5
paired_delta,a1,,R2-R0,delta_auprc,-0.05309094436451245,-0.06169187887670835,0.024964875141464348,-0.07901967554270872,-0.01472276996076749,0,5
paired_delta,a1,,R2-R0,delta_binary_f1,-0.08523213415823423,-0.03222099987776561,0.11371800819517706,-0.2745230635138892,-0.002373746365200824,0,5
paired_delta,a1,,R2-R0,delta_ufar,0.133,0.035,0.18253766734567414,0.0,0.42,3,0
paired_delta,a1,,R2-R0,delta_known_frr,0.010999999999999998,0.019999999999999997,0.019493588689617928,-0.020000000000000004,0.03,4,1
paired_delta,a1,,R2-R0,delta_known_macro_f1,0.01430804328892552,0.011694261295663755,0.014217137925595933,-0.0016653613171037085,0.035622456101090716,4,1
paired_delta,a1,,R2-R1,delta_auroc,-0.024045000000000004,-0.022500000000000075,0.010841621188733728,-0.04144999999999999,-0.011599999999999944,0,5
paired_delta,a1,,R2-R1,delta_auprc,-0.05140182558941846,-0.058579516558347255,0.0249841980065275,-0.07777979668657531,-0.012565633953852129,0,5
paired_delta,a1,,R2-R1,delta_binary_f1,-0.08333839652863369,-0.02739192838202742,0.11766702001235997,-0.2770282424896564,0.0023622233245931268,1,4
paired_delta,a1,,R2-R1,delta_ufar,0.13399999999999998,0.035,0.18450609746021945,0.0,0.425,3,0
paired_delta,a1,,R2-R1,delta_known_frr,0.005999999999999998,0.0049999999999999975,0.013874436925511607,-0.010000000000000002,0.019999999999999997,3,2
paired_delta,a1,,R2-R1,delta_known_macro_f1,0.005016430512834224,0.003683646137740082,0.00990236427254623,-0.009675070005651154,0.015635416848102324,4,1
paired_delta,a1,,R3-R2,delta_auroc,-0.023189999999999954,-0.012849999999999917,0.02743680010496852,-0.07184999999999997,-0.006549999999999945,0,5
paired_delta,a1,,R3-R2,delta_auprc,-0.02740838847366487,-0.009986874442793892,0.03679276969607402,-0.09139375469604405,-0.0011297023599862177,0,5
paired_delta,a1,,R3-R2,delta_binary_f1,-0.14956108857468178,-0.07453471103106146,0.11538090521702969,-0.3216845250601115,-0.06507838283828382,0,5
paired_delta,a1,,R3-R2,delta_ufar,0.199,0.135,0.10033693238284695,0.10999999999999999,0.325,5,0
paired_delta,a1,,R3-R2,delta_known_frr,0.0030000000000000027,0.0049999999999999975,0.005700877125495691,-0.0049999999999999975,0.010000000000000009,3,1
paired_delta,a1,,R3-R2,delta_known_macro_f1,-0.01460982180742445,-0.0176441915687936,0.012349011246061765,-0.027763259281299857,0.005354484347977473,1,4
method_metric,a2,R0,,auroc,0.8534244444444443,0.8257833333333333,0.0637564874876217,0.7939833333333333,0.9458083333333333,,
method_metric,a2,R0,,auprc,0.8924288382306143,0.8752837890204058,0.03785462068534087,0.852238429429298,0.9475827522691815,,
method_metric,a2,R0,,binary_f1,0.7979512950800978,0.7938044530493708,0.04273973252222525,0.7432567432567433,0.8615664845173042,,
method_metric,a2,R0,,ufar,0.30533333333333335,0.31666666666666665,0.060706488761727746,0.21166666666666667,0.38,,
method_metric,a2,R0,,known_frr,0.044,0.041666666666666664,0.0066248689714505996,0.03833333333333333,0.05333333333333334,,
method_metric,a2,R0,,known_macro_f1,0.9281457233154289,0.9372766193260776,0.02003037712378691,0.9041308644959355,0.9463360429774405,,
method_metric,a2,R1,,auroc,0.9273938888888887,0.9180638888888889,0.04451981523212407,0.8679111111111112,0.9850916666666667,,
method_metric,a2,R1,,auprc,0.9385713906789419,0.9285479086138646,0.026341515778416456,0.9088420151146751,0.9768601147193078,,
method_metric,a2,R1,,binary_f1,0.8517120180799754,0.8296296296296296,0.05962263605021544,0.7864734299516908,0.9440267335004177,,
method_metric,a2,R1,,ufar,0.22066666666666665,0.25333333333333335,0.10031616685925224,0.058333333333333334,0.32166666666666666,,
method_metric,a2,R1,,known_frr,0.045000000000000005,0.04666666666666667,0.008819171036881969,0.035,0.05333333333333334,,
method_metric,a2,R1,,known_macro_f1,0.9252002467461233,0.9255565127242537,0.012054415960543376,0.9111275541112016,0.9432129185553213,,
method_metric,a2,R2,,auroc,0.9622149999999999,0.9562527777777777,0.019050802837008402,0.9444388888888888,0.9852972222222222,,
method_metric,a2,R2,,auprc,0.9566126185403567,0.947381707821974,0.014665183489081333,0.9452039541275965,0.9746776463208646,,
method_metric,a2,R2,,binary_f1,0.8730267007966855,0.8408463661453542,0.05436154150575173,0.8235294117647058,0.9496644295302014,,
method_metric,a2,R2,,ufar,0.18866666666666668,0.23833333333333334,0.0871891303113206,0.056666666666666664,0.265,,
method_metric,a2,R2,,known_frr,0.043333333333333335,0.04833333333333333,0.010606601717798213,0.025,0.05,,
method_metric,a2,R2,,known_macro_f1,0.9293603391325913,0.91969632700934,0.01767590915183447,0.9161242533029784,0.9574331109419757,,
method_metric,a2,R3,,auroc,0.961455,0.9606305555555555,0.021274612054172796,0.9333666666666668,0.98365,,
method_metric,a2,R3,,auprc,0.9545469241117356,0.94822349679001,0.019164406595954937,0.9296711919436569,0.9754146907378913,,
method_metric,a2,R3,,binary_f1,0.8695763622895563,0.8506375227686703,0.07440773487023043,0.7645320197044335,0.947996589940324,,
method_metric,a2,R3,,ufar,0.19033333333333333,0.22,0.11572476926839051,0.07333333333333333,0.35333333333333333,,
method_metric,a2,R3,,known_frr,0.045,0.045,0.010274023338281629,0.028333333333333332,0.055,,
method_metric,a2,R3,,known_macro_f1,0.9226180805611619,0.9311259215288746,0.01991456556566012,0.8940839972240981,0.9431535993996862,,
paired_delta,a2,,R1-R0,delta_auroc,0.07396944444444449,0.06221944444444427,0.03091187587669256,0.03928333333333345,0.1176138888888889,5,0
paired_delta,a2,,R1-R0,delta_auprc,0.0461425524483275,0.038786373569245525,0.01847919638647534,0.029277362450126243,0.0743351887355318,5,0
paired_delta,a2,,R1-R0,delta_binary_f1,0.05376072299987764,0.045014245014245,0.019533326776935728,0.033716753359677276,0.08246024898311344,5,0
paired_delta,a2,,R1-R0,delta_ufar,-0.08466666666666667,-0.06666666666666665,0.04241658480673174,-0.15333333333333332,-0.04833333333333334,0,5
paired_delta,a2,,R1-R0,delta_known_frr,0.0010000000000000037,-0.0016666666666666635,0.006078194176270156,-0.003333333333333327,0.011666666666666672,1,3
paired_delta,a2,,R1-R0,delta_known_macro_f1,-0.0029454765693054386,-0.00312312442211915,0.020249788917835836,-0.026149065214876033,0.023890312211661713,2,3
paired_delta,a2,,R2-R0,delta_auroc,0.10879055555555557,0.13046944444444442,0.045451399079024436,0.03948888888888891,0.15171944444444452,5,0
paired_delta,a2,,R2-R0,delta_auprc,0.06418378030974234,0.06992016510719068,0.024403681155125857,0.027094894051683083,0.09310670840886859,5,0
paired_delta,a2,,R2-R0,delta_binary_f1,0.07507540571658784,0.08027266850796255,0.023382250132504,0.04704191309598349,0.1040268911897756,5,0
paired_delta,a2,,R2-R0,delta_ufar,-0.11666666666666665,-0.11499999999999999,0.03793268892247014,-0.155,-0.07833333333333331,0,5
