protocol_id,setting,seed,method,analysis_type,application,precision,recall,f1,support,known_frr,unknown_recall,ufar,score_mean,score_median,top_absorbing_known_class,top_absorbed_count,hard_class
low_seed2022,Low,2022,M0,known_true_class,netflix,0.7391304347826086,0.85,0.7906976744186046,20,0.2,,,20.030218362808228,15.090249061584473,,,False
low_seed2022,Low,2022,M0,known_true_class,rsync,0.59375,0.6963350785340314,0.6409638554216868,191,0.020942408376963352,,,6.05956500238149,4.1823530197143555,,,True
low_seed2022,Low,2022,M0,known_true_class,sftp,0.5813953488372093,0.45180722891566266,0.5084745762711864,166,0.006024096385542169,,,5.189798162644168,4.34359884262085,,,True
low_seed2022,Low,2022,M0,known_true_class,skype,0.9765625,0.9920634920634921,0.984251968503937,126,0.11904761904761904,,,11.205970362065331,3.8972781896591187,,,False
low_seed2022,Low,2022,M0,known_true_class,ssh,0.9985272459499264,1.0,0.9992630803242447,1356,0.03023598820058997,,,2.3689770957449543,0.9779331386089325,,,False
low_seed2022,Low,2022,M0,known_true_class,vimeo,0.9586776859504132,0.9586776859504132,0.9586776859504132,121,0.05785123966942149,,,4.838264054503322,1.4821665287017822,,,False
low_seed2022,Low,2022,M0,known_true_class,youtube,0.9032258064516129,0.8235294117647058,0.8615384615384616,34,0.6764705882352942,,,31.209682071910184,21.193571090698242,,,False
low_seed2022,Low,2022,M0,known_true_class,zoiper,0.989247311827957,0.989247311827957,0.989247311827957,93,0.021505376344086023,,,7.230637760572536,6.047618865966797,,,False
low_seed2022,Low,2022,M0,unknown_true_class,rdp,,,,44,,0.36363636363636365,0.6363636363636364,28.47952287305485,14.733227252960205,skype,33,False
low_seed2022,Low,2022,M0,unknown_true_class,scp,,,,2290,,0.016157205240174673,0.9838427947598253,5.551348739107623,4.235501050949097,rsync,1575,True
low_seed2022,Low,2022,M1,known_true_class,netflix,1.0,0.8,0.8888888888888888,20,0.15,,,3.13958374983484,2.027991296757453,,,False
low_seed2022,Low,2022,M1,known_true_class,rsync,0.585,0.612565445026178,0.59846547314578,191,0.02617801047120419,,,1.1517571048576718,0.4568982014612038,,,True
low_seed2022,Low,2022,M1,known_true_class,sftp,0.5424836601307189,0.5,0.5203761755485894,166,0.03614457831325301,,,0.8535796280061023,0.5058915227190257,,,True
low_seed2022,Low,2022,M1,known_true_class,skype,1.0,0.9523809523809523,0.975609756097561,126,0.14285714285714285,,,3.6378515014535786,1.4945623812633975,,,False
low_seed2022,Low,2022,M1,known_true_class,ssh,0.9985272459499264,1.0,0.9992630803242447,1356,0.032448377581120944,,,0.4267109061204978,0.08610070272081469,,,False
low_seed2022,Low,2022,M1,known_true_class,vimeo,1.0,0.9504132231404959,0.9745762711864406,121,0.05785123966942149,,,1.0979951525035583,0.3111384736341987,,,False
low_seed2022,Low,2022,M1,known_true_class,youtube,0.7391304347826086,1.0,0.85,34,0.4117647058823529,,,4.471282220679882,2.3205926788167925,,,False
low_seed2022,Low,2022,M1,known_true_class,zoiper,0.9393939393939394,1.0,0.96875,93,0.03225806451612903,,,1.413453075034534,0.8540796855748461,,,False
low_seed2022,Low,2022,M1,unknown_true_class,rdp,,,,44,,0.6818181818181818,0.3181818181818182,12.193268123439266,9.394826251148361,skype,25,False
low_seed2022,Low,2022,M1,unknown_true_class,scp,,,,2290,,0.028384279475982533,0.9716157205240175,0.8747870597317483,0.47287587026204125,rsync,1455,True
low_seed2022,Low,2022,M2,known_true_class,netflix,1.0,0.8,0.8888888888888888,20,0.25,,,20.490131711878213,15.362176505838729,,,False
low_seed2022,Low,2022,M2,known_true_class,rsync,0.585,0.612565445026178,0.59846547314578,191,0.041884816753926704,,,6.27977226164555,2.529623142741621,,,True
low_seed2022,Low,2022,M2,known_true_class,sftp,0.5424836601307189,0.5,0.5203761755485894,166,0.03614457831325301,,,4.54833069281067,2.6924692769152716,,,True
low_seed2022,Low,2022,M2,known_true_class,skype,1.0,0.9523809523809523,0.975609756097561,126,0.12698412698412698,,,19.390451901643942,9.447869213447877,,,False
low_seed2022,Low,2022,M2,known_true_class,ssh,0.9985272459499264,1.0,0.9992630803242447,1356,0.03171091445427729,,,1.0988903658996698,-0.5995106579514116,,,False
low_seed2022,Low,2022,M2,known_true_class,vimeo,1.0,0.9504132231404959,0.9745762711864406,121,0.05785123966942149,,,7.196068084979322,3.4653184052378663,,,False
low_seed2022,Low,2022,M2,known_true_class,youtube,0.7391304347826086,1.0,0.85,34,0.4117647058823529,,,25.91251758551222,13.720473640701236,,,False
low_seed2022,Low,2022,M2,known_true_class,zoiper,0.9393939393939394,1.0,0.96875,93,0.03225806451612903,,,8.114984021759929,4.90836853673558,,,False
low_seed2022,Low,2022,M2,unknown_true_class,rdp,,,,44,,0.7272727272727273,0.2727272727272727,69.16634588721256,62.677332647063295,skype,25,False
low_seed2022,Low,2022,M2,unknown_true_class,scp,,,,2290,,0.03668122270742358,0.9633187772925764,4.869701825021148,2.6796428693633842,rsync,1455,True
low_seed2023,Low,2023,M0,known_true_class,rdp,0.8,1.0,0.8888888888888888,4,1.0,,,18.51668381690979,17.798584938049316,,,False
low_seed2023,Low,2023,M0,known_true_class,rsync,0.37349397590361444,0.32460732984293195,0.3473389355742297,191,0.04712041884816754,,,4.0615307947728025,3.3322227001190186,,,True
low_seed2023,Low,2023,M0,known_true_class,scp,0.4,0.5152838427947598,0.45038167938931295,229,0.056768558951965066,,,3.6972254301262737,3.345855951309204,,,True
low_seed2023,Low,2023,M0,known_true_class,sftp,0.6120689655172413,0.42771084337349397,0.5035460992907801,166,0.10240963855421686,,,4.093976621168205,3.451679229736328,,,True
low_seed2023,Low,2023,M0,known_true_class,ssh,0.9926793557833089,1.0,0.9963262307127112,1356,0.028761061946902654,,,1.2634887475751142,0.5283302664756775,,,False
low_seed2023,Low,2023,M0,known_true_class,vimeo,1.0,0.9917355371900827,0.995850622406639,121,0.01652892561983471,,,1.7163002860447591,0.8399922251701355,,,False
low_seed2023,Low,2023,M0,known_true_class,youtube,0.9714285714285714,1.0,0.9855072463768116,34,0.38235294117647056,,,19.61258852481842,1.9058321118354797,,,False
low_seed2023,Low,2023,M0,known_true_class,zoiper,1.0,0.978494623655914,0.9891304347826086,93,0.043010752688172046,,,1.9262792057888483,0.7545524835586548,,,False
low_seed2023,Low,2023,M0,unknown_true_class,netflix,,,,205,,0.17560975609756097,0.824390243902439,12.534978196097583,1.628140926361084,youtube,202,False
low_seed2023,Low,2023,M0,unknown_true_class,skype,,,,1269,,0.9377462568951931,0.062253743104806934,15.578733320495479,12.980905532836914,rdp,880,False
low_seed2023,Low,2023,M1,known_true_class,rdp,0.4444444444444444,1.0,0.6153846153846154,4,1.0,,,4.008515960619591,4.4026533306511935,,,False
low_seed2023,Low,2023,M1,known_true_class,rsync,0.38080495356037153,0.643979057591623,0.4785992217898833,191,0.031413612565445025,,,0.3750660518918251,0.12595868546686068,,,True
low_seed2023,Low,2023,M1,known_true_class,scp,0.4067796610169492,0.2096069868995633,0.276657060518732,229,0.013100436681222707,,,0.2957530058203645,0.1484706982037575,,,True
low_seed2023,Low,2023,M1,known_true_class,sftp,0.5367647058823529,0.4397590361445783,0.48344370860927155,166,0.0963855421686747,,,0.5828473016411323,0.24083984698188765,,,True
low_seed2023,Low,2023,M1,known_true_class,ssh,0.9948604992657856,0.9992625368731564,0.9970566593083149,1356,0.028761061946902654,,,0.22433468034481896,0.02072804741939651,,,False
low_seed2023,Low,2023,M1,known_true_class,vimeo,1.0,0.9917355371900827,0.995850622406639,121,0.03305785123966942,,,0.3596204371383367,0.10457110223020814,,,False
low_seed2023,Low,2023,M1,known_true_class,youtube,0.9714285714285714,1.0,0.9855072463768116,34,0.5588235294117647,,,4.303987081760946,1.6373263617370841,,,False
low_seed2023,Low,2023,M1,known_true_class,zoiper,1.0,0.978494623655914,0.9891304347826086,93,0.043010752688172046,,,0.478562033330199,0.12822971896107482,,,False
low_seed2023,Low,2023,M1,unknown_true_class,netflix,,,,205,,0.40487804878048783,0.5951219512195122,3.159926638961984,1.1249890514090224,youtube,202,False
low_seed2023,Low,2023,M1,unknown_true_class,skype,,,,1269,,0.9062253743104807,0.0937746256895193,4.879665087947969,3.857625115548559,rdp,1038,False
low_seed2023,Low,2023,M2,known_true_class,rdp,0.4444444444444444,1.0,0.6153846153846154,4,1.0,,,86.2456263583836,88.40534288546309,,,False
low_seed2023,Low,2023,M2,known_true_class,rsync,0.38080495356037153,0.643979057591623,0.4785992217898833,191,0.03664921465968586,,,6.83000413330719,2.5573204149710875,,,True
