method,protocol_id,true_class,predicted_class,count,true_class_support,error_rate_within_true_class
f2,medium_seed2025,scp,rdp,1,229,0.004366812227074236
f2,medium_seed2025,scp,rsync,4,229,0.017467248908296942
f2,medium_seed2025,ssh,rsync,1,1356,0.0007374631268436578
f2,medium_seed2025,ssh,scp,1,1356,0.0007374631268436578
f2,medium_seed2025,ssh,skype,1,1356,0.0007374631268436578
f2,medium_seed2025,youtube,netflix,12,34,0.35294117647058826
f2,medium_seed2025,youtube,skype,1,34,0.029411764705882353
od,medium_seed2026,netflix,vimeo,2,20,0.1
od,medium_seed2026,netflix,zoiper,1,20,0.05
od,medium_seed2026,rsync,ssh,4,191,0.020942408376963352
od,medium_seed2026,ssh,skype,1,1356,0.0007374631268436578
od,medium_seed2026,zoiper,ssh,1,93,0.010752688172043012
f0,medium_seed2026,netflix,skype,2,20,0.1
f0,medium_seed2026,netflix,zoiper,1,20,0.05
f0,medium_seed2026,rdp,skype,2,4,0.5
f0,medium_seed2026,rsync,ssh,10,191,0.05235602094240838
f0,medium_seed2026,ssh,rsync,1,1356,0.0007374631268436578
f0,medium_seed2026,ssh,skype,1,1356,0.0007374631268436578
f0,medium_seed2026,vimeo,rsync,2,121,0.01652892561983471
f0,medium_seed2026,vimeo,skype,2,121,0.01652892561983471
f0,medium_seed2026,vimeo,zoiper,2,121,0.01652892561983471
f0,medium_seed2026,zoiper,skype,1,93,0.010752688172043012
f0,medium_seed2026,zoiper,ssh,1,93,0.010752688172043012
f2,medium_seed2026,netflix,vimeo,12,20,0.6
f2,medium_seed2026,netflix,zoiper,3,20,0.15
f2,medium_seed2026,rdp,skype,3,4,0.75
f2,medium_seed2026,rdp,zoiper,1,4,0.25
f2,medium_seed2026,rsync,skype,2,191,0.010471204188481676
f2,medium_seed2026,rsync,ssh,4,191,0.020942408376963352
f2,medium_seed2026,skype,rsync,1,126,0.007936507936507936
f2,medium_seed2026,skype,zoiper,8,126,0.06349206349206349
f2,medium_seed2026,ssh,rsync,5,1356,0.003687315634218289
f2,medium_seed2026,ssh,skype,1,1356,0.0007374631268436578
f2,medium_seed2026,vimeo,rsync,2,121,0.01652892561983471
f2,medium_seed2026,vimeo,skype,1,121,0.008264462809917356
f2,medium_seed2026,vimeo,zoiper,3,121,0.024793388429752067
f2,medium_seed2026,zoiper,netflix,1,93,0.010752688172043012
