method,protocol_id,setting,protocol_seed,class,local_label,precision,recall,f1,support,train_support,delta_precision_vs_od,delta_recall_vs_od,delta_f1_vs_od
od,low_seed2025,Low,2025,netflix,0,0.9375,0.75,0.8333333333333334,20,165,0.0,0.0,0.0
f0,low_seed2025,Low,2025,netflix,0,0.0,0.0,0.0,20,165,-0.9375,-0.75,-0.8333333333333334
f2,low_seed2025,Low,2025,netflix,0,0.0,0.0,0.0,20,165,-0.9375,-0.75,-0.8333333333333334
od,low_seed2025,Low,2025,rdp,1,1.0,0.25,0.4,4,36,0.0,0.0,0.0
f0,low_seed2025,Low,2025,rdp,1,0.0,0.0,0.0,4,36,-1.0,-0.25,-0.4
f2,low_seed2025,Low,2025,rdp,1,0.0,0.0,0.0,4,36,-1.0,-0.25,-0.4
od,low_seed2025,Low,2025,rsync,2,0.3942307692307692,0.643979057591623,0.48906560636182905,191,1530,0.0,0.0,0.0
f0,low_seed2025,Low,2025,rsync,2,0.0,0.0,0.0,191,1530,-0.3942307692307692,-0.643979057591623,-0.48906560636182905
f2,low_seed2025,Low,2025,rsync,2,0.3488372093023256,0.0785340314136125,0.1282051282051282,191,1530,-0.04539355992844363,-0.5654450261780105,-0.36086047815670086
od,low_seed2025,Low,2025,scp,3,0.4672131147540984,0.24890829694323144,0.3247863247863248,229,1832,0.0,0.0,0.0
f0,low_seed2025,Low,2025,scp,3,0.4576271186440678,0.4716157205240174,0.464516129032258,229,1832,-0.009585996110030581,0.22270742358078596,0.13972980424593318
f2,low_seed2025,Low,2025,scp,3,0.4357798165137614,0.4148471615720524,0.4250559284116331,229,1832,-0.03143329824033697,0.165938864628821,0.10026960362530829
od,low_seed2025,Low,2025,sftp,4,0.5734265734265734,0.4939759036144578,0.5307443365695793,166,1336,0.0,0.0,0.0
f0,low_seed2025,Low,2025,sftp,4,0.3361823361823361,0.7108433734939759,0.4564796905222437,166,1336,-0.23724423724423732,0.21686746987951805,-0.07426464604733563
f2,low_seed2025,Low,2025,sftp,4,0.303951367781155,0.6024096385542169,0.404040404040404,166,1336,-0.26947520564541844,0.10843373493975911,-0.12670393252917533
od,low_seed2025,Low,2025,skype,5,0.9618320610687023,1.0,0.980544747081712,126,1017,0.0,0.0,0.0
f0,low_seed2025,Low,2025,skype,5,0.9264705882352942,1.0,0.9618320610687024,126,1017,-0.03536147283340818,0.0,-0.018712686013009572
f2,low_seed2025,Low,2025,skype,5,0.9333333333333332,0.8888888888888888,0.9105691056910568,126,1017,-0.0284987277353691,-0.11111111111111116,-0.06997564139065526
od,low_seed2025,Low,2025,ssh,6,0.9926686217008798,0.9985250737463127,0.9955882352941177,1356,10851,0.0,0.0,0.0
f0,low_seed2025,Low,2025,ssh,6,0.9940915805022156,0.9926253687315634,0.9933579335793358,1356,10851,0.0014229588013358052,-0.005899705014749346,-0.0022303017147818904
f2,low_seed2025,Low,2025,ssh,6,0.9854545454545456,0.9992625368731564,0.9923105089710728,1356,10851,-0.007214076246334189,0.0007374631268436405,-0.003277726323044905
od,low_seed2025,Low,2025,youtube,7,0.8648648648648649,0.9411764705882353,0.9014084507042254,34,273,0.0,0.0,0.0
f0,low_seed2025,Low,2025,youtube,7,0.6410256410256411,0.7352941176470589,0.6849315068493151,34,273,-0.22383922383922383,-0.2058823529411764,-0.21647694385491023
f2,low_seed2025,Low,2025,youtube,7,0.6341463414634146,0.7647058823529411,0.6933333333333332,34,273,-0.23071852340145027,-0.17647058823529416,-0.20807511737089213
od,low_seed2026,Low,2026,netflix,0,1.0,0.85,0.918918918918919,20,165,0.0,0.0,0.0
f0,low_seed2026,Low,2026,netflix,0,0.8636363636363636,0.95,0.9047619047619048,20,165,-0.13636363636363635,0.09999999999999998,-0.014157014157014203
f2,low_seed2026,Low,2026,netflix,0,1.0,0.75,0.8571428571428571,20,165,0.0,-0.09999999999999998,-0.061776061776061875
od,low_seed2026,Low,2026,rdp,1,1.0,0.5,0.6666666666666666,4,36,0.0,0.0,0.0
f0,low_seed2026,Low,2026,rdp,1,1.0,0.75,0.8571428571428571,4,36,0.0,0.25,0.19047619047619047
f2,low_seed2026,Low,2026,rdp,1,1.0,0.25,0.4,4,36,0.0,-0.25,-0.2666666666666666
od,low_seed2026,Low,2026,rsync,2,0.0,0.0,0.0,191,1530,0.0,0.0,0.0
f0,low_seed2026,Low,2026,rsync,2,0.6666666666666666,0.0104712041884816,0.0206185567010309,191,1530,0.6666666666666666,0.0104712041884816,0.0206185567010309
