setting,class_name,support,acceptance,FRR
low,adblockplus.org,451,0.9822616407982262,0.0177383592017738
low,arin.net,450,0.9866666666666667,0.013333333333333308
low,cloudfront.net,300,0.9233333333333333,0.07666666666666666
low,cookielaw.org,450,0.9888888888888889,0.011111111111111072
low,ctfassets.net,300,0.9766666666666667,0.023333333333333317
low,doubleclick.net,387,0.9328165374677002,0.06718346253229979
low,flipboard.com,447,0.9798657718120806,0.020134228187919434
low,garmin.com,451,0.9733924611973392,0.026607538802660757
low,gmx.net,449,0.9599109131403119,0.04008908685968815
low,google-analytics.com,447,0.9888143176733781,0.01118568232662187
low,google.com,432,0.9259259259259259,0.07407407407407407
low,googleapis.com,402,0.9626865671641791,0.03731343283582089
low,googletagmanager.com,426,0.9906103286384976,0.009389671361502372
low,gstatic.com,398,0.9849246231155779,0.015075376884422065
low,hotjar.com,450,0.9555555555555556,0.0444444444444444
low,hs-scripts.com,429,0.9836829836829837,0.01631701631701632
low,hsadspixel.net,422,0.985781990521327,0.014218009478673022
low,hubspot.com,399,0.9699248120300752,0.03007518796992481
low,joinhoney.com,451,0.9778270509977827,0.022172949002217335
low,like-video.com,450,0.98,0.020000000000000018
low,logitech.com,450,0.9177777777777778,0.0822222222222222
low,mozilla.net,450,0.9777777777777777,0.022222222222222254
low,naver.com,449,0.9510022271714922,0.04899777282850781
low,onetrust.com,450,0.9888888888888889,0.011111111111111072
low,qualified.com,249,0.9397590361445783,0.06024096385542166
low,robinhood.com,450,0.9488888888888889,0.05111111111111111
low,sharethis.com,451,0.9401330376940134,0.05986696230598665
low,steamstatic.com,451,0.9556541019955654,0.04434589800443456
low,trustarc.com,418,0.9880382775119617,0.011961722488038284
low,twitter.com,422,0.9834123222748815,0.016587677725118488
low,typekit.net,451,0.9822616407982262,0.0177383592017738
low,ubuntu.com,450,0.9777777777777777,0.022222222222222254
low,waze.com,450,0.9755555555555555,0.02444444444444449
low,web.de,450,0.9733333333333334,0.026666666666666616
low,wistia.com,449,0.9821826280623608,0.017817371937639215
low,xnxx-cdn.com,451,0.9778270509977827,0.022172949002217335
low,yahoo.co.jp,460,0.9478260869565217,0.05217391304347829
low,yimg.jp,450,0.9488888888888889,0.05111111111111111
