setting,method,overall_acceptance,FRR,per_class_coverage_min,per_class_coverage_max,mean_component_gap,max_component_gap,data_scope
low,Native,0.9499445881049132,0.05005541189508678,0.75,1.0,0.08191534646759824,0.6428571428571428,KNOWN_VALIDATION_ONLY
low,Single-Full-K1,0.9500061568772319,0.04999384312276811,0.8777777777777778,1.0,0.06417169489116391,0.4107142857142857,KNOWN_VALIDATION_ONLY
low,Multi-Global-K2,0.9500061568772319,0.04999384312276811,0.8711111111111111,1.0,0.0534513271104958,0.22783702053159316,KNOWN_VALIDATION_ONLY
low,Class-P05-K2,0.9684152198005171,0.031584780199482854,0.9509043927648578,0.9955257270693513,0.03800792424266802,0.17350813743218807,KNOWN_VALIDATION_ONLY
low,Component-P05-K2,0.971924639822682,0.028075360177318043,0.949874686716792,0.9977628635346756,0.019874081514670894,0.052219321148825104,KNOWN_VALIDATION_ONLY
low,DGSB-v2,0.9681689447112425,0.031831055288757515,0.9177777777777778,0.9906103286384976,0.029916161322933732,0.14380073213433076,KNOWN_VALIDATION_ONLY
