setting,class_name,train_samples,validation_samples,train_component_weights,validation_empirical_weights,validation_component_counts,total_variation,min_component_weight,tiny_component_lt_1pct,very_tiny_component_lt_0_5pct,validation_empty_component,converged,n_iter
A-2,Gmail,6903,863,"[0.3776618861364605, 0.6223381138635394]","[0.36964078794901506, 0.6303592120509849]","[319, 544]",0.008021098187445452,0.3776618861364605,False,False,False,True,3
A-2,FTP,80830,10103,"[0.32485497662606405, 0.6751450233739359]","[0.3305948728100564, 0.6694051271899436]","[3340, 6763]",0.005739896183992316,0.32485497662606405,False,False,False,True,10
A-2,Nsis-ay,4855,607,"[0.46875637133198333, 0.5312436286680167]","[0.471169686985173, 0.528830313014827]","[286, 321]",0.0024133156531896682,0.46875637133198333,False,False,False,True,16
A-2,Facetime,4800,600,"[0.5814525475942107, 0.41854745240578933]","[0.6, 0.4]","[360, 240]",0.018547452405789283,0.41854745240578933,False,False,False,True,9
A-2,Weibo,31960,3995,"[0.0799705288366902, 0.9200294711633098]","[0.08010012515644556, 0.9198998748435544]","[320, 3675]",0.0001295963197553776,0.0799705288366902,False,False,False,True,20
A-2,Cridex,13108,1638,"[0.49931339639914557, 0.5006866036008545]","[0.5054945054945055, 0.4945054945054945]","[828, 810]",0.006181109095359932,0.49931339639914557,False,False,False,True,3
A-2,Zeus,8776,1097,"[0.4698040109389243, 0.5301959890610757]","[0.4840474020054695, 0.5159525979945305]","[531, 566]",0.014243391066545152,0.4698040109389243,False,False,False,True,3
A-2,SMB,31150,3893,"[0.7805778491163414, 0.21942215088365852]","[0.7898792704854868, 0.21012072951451322]","[3075, 818]",0.00930142136914533,0.21942215088365852,False,False,False,True,5
A-2,BitTorrent,6014,752,"[0.6612118725150143, 0.3387881274849856]","[0.6449468085106383, 0.3550531914893617]","[485, 267]",0.01626506400437605,0.3387881274849856,False,False,False,True,9
A-2,WorldOfWarcraft,6306,789,"[0.9798350878591048, 0.02016491214089514]","[0.991128010139417, 0.008871989860583017]","[782, 7]",0.011292922280312163,0.02016491214089514,False,False,False,True,19
A-2,Shifu,7705,963,"[0.7669046073977936, 0.23309539260220635]","[0.7767393561786086, 0.2232606438213915]","[748, 215]",0.00983474878081489,0.23309539260220635,False,False,False,True,9
A-2,Outlook,6019,753,"[0.9044787447206388, 0.09552125527936119]","[0.9017264276228419, 0.09827357237715803]","[679, 74]",0.002752317097796865,0.09552125527936119,False,False,False,True,16
A-2,Virut,26482,3310,"[0.5770347445219236, 0.42296525547807645]","[0.5673716012084592, 0.4326283987915408]","[1878, 1432]",0.009663143313464378,0.42296525547807645,False,False,False,True,10
A-2,MySQL,68871,8609,"[0.4974662775336295, 0.5025337224663705]","[0.4998257637356255, 0.5001742362643745]","[4303, 4306]",0.0023594862019959972,0.4974662775336295,False,False,False,True,4
A-2,Skype,5057,632,"[0.9017203876394312, 0.09827961236056874]","[0.8924050632911392, 0.10759493670886076]","[564, 68]",0.009315324348291992,0.09827961236056874,False,False,False,True,6
A-2,Miuref,10782,1348,"[0.6313299944351697, 0.36867000556483026]","[0.6513353115727003, 0.3486646884272997]","[878, 470]",0.020005317137530593,0.36867000556483026,False,False,False,True,3
A-2,Neris,27033,3379,"[0.3513149360964922, 0.6486850639035077]","[0.3498076353950873, 0.6501923646049127]","[1182, 2197]",0.0015073007014049788,0.3513149360964922,False,False,False,True,9
