setting,class_name,detector,warning_category,warning_message,converged,n_iter
A-2,Gmail,Single-Full,,,True,2
A-2,Gmail,Multi-Full-K2,,,True,3
A-2,FTP,Single-Full,,,True,2
A-2,FTP,Multi-Full-K2,,,True,10
A-2,Nsis-ay,Single-Full,,,True,2
A-2,Nsis-ay,Multi-Full-K2,,,True,16
A-2,Facetime,Single-Full,,,True,2
A-2,Facetime,Multi-Full-K2,,,True,9
A-2,Weibo,Single-Full,,,True,2
A-2,Weibo,Multi-Full-K2,,,True,20
A-2,Cridex,Single-Full,,,True,2
A-2,Cridex,Multi-Full-K2,,,True,3
A-2,Zeus,Single-Full,,,True,2
A-2,Zeus,Multi-Full-K2,,,True,3
A-2,SMB,Single-Full,,,True,2
A-2,SMB,Multi-Full-K2,,,True,5
A-2,BitTorrent,Single-Full,,,True,2
A-2,BitTorrent,Multi-Full-K2,,,True,9
A-2,WorldOfWarcraft,Single-Full,,,True,2
A-2,WorldOfWarcraft,Multi-Full-K2,,,True,19
A-2,Shifu,Single-Full,,,True,2
A-2,Shifu,Multi-Full-K2,,,True,9
A-2,Outlook,Single-Full,,,True,2
A-2,Outlook,Multi-Full-K2,,,True,16
A-2,Virut,Single-Full,,,True,2
A-2,Virut,Multi-Full-K2,,,True,10
A-2,MySQL,Single-Full,,,True,2
A-2,MySQL,Multi-Full-K2,,,True,4
A-2,Skype,Single-Full,,,True,2
A-2,Skype,Multi-Full-K2,,,True,6
A-2,Miuref,Single-Full,,,True,2
A-2,Miuref,Multi-Full-K2,,,True,3
A-2,Neris,Single-Full,,,True,2
A-2,Neris,Multi-Full-K2,,,True,9
