setting,unknown_class,sample_count,native_unknown_far,single_unknown_far,multi_unknown_far,delta_unknown_far_multi_minus_single
A-2,Geodo,4095,0.9946275946275946,0.8336996336996337,0.8336996336996337,0.0
A-2,Htbot,634,0.6293375394321766,0.055205047318611984,0.07886435331230283,0.02365930599369085
A-2,Tinba,850,0.9858823529411764,0.0,0.0,0.0
