setting,method,overall_acceptance,FRR,per_class_coverage_min,per_class_coverage_max,mean_component_gap,max_component_gap,data_scope
medium,Native,0.9499506903353058,0.05004930966469423,0.7594654788418709,1.0,0.0811278020685094,0.5957700601000138,KNOWN_VALIDATION_ONLY
medium,Single-Full-K1,0.9500328731097962,0.04996712689020377,0.8757062146892656,1.0,0.05863700962505519,0.23430837455227693,KNOWN_VALIDATION_ONLY
medium,Multi-Global-K2,0.9500328731097962,0.04996712689020377,0.8531073446327684,1.0,0.04657168508791057,0.17879041248606464,KNOWN_VALIDATION_ONLY
medium,Class-P05-K2,0.974112426035503,0.025887573964497035,0.9493975903614458,1.0,0.028107706971814608,0.1304609428137916,KNOWN_VALIDATION_ONLY
medium,Component-P05-K2,0.9760848126232742,0.02391518737672582,0.9493975903614458,1.0,0.01920368564287238,0.05217391304347829,KNOWN_VALIDATION_ONLY
medium,DGSB-v2,0.9689349112426036,0.031065088757396442,0.9322033898305084,0.9891696750902527,0.027481476582465254,0.09999999999999998,KNOWN_VALIDATION_ONLY
