scenario,method,seed_count,auroc_mean,auroc_median,auroc_std,auroc_min,auroc_max,auprc_mean,auprc_median,auprc_std,auprc_min,auprc_max,ufar_mean,ufar_median,ufar_std,ufar_min,ufar_max,known_frr_mean,known_frr_median,known_frr_std,known_frr_min,known_frr_max,binary_f1_mean,binary_f1_median,binary_f1_std,binary_f1_min,binary_f1_max,known_macro_f1_mean,known_macro_f1_median,known_macro_f1_std,known_macro_f1_min,known_macro_f1_max
a1,CENTROID,5,0.9951699999999999,0.9962,0.0036443192093997363,0.98895,0.997925,0.9897144208691291,0.9941717656862525,0.012131997331010318,0.968446237173811,0.9974784404023542,0.001,0.0,0.00223606797749979,0.0,0.005,0.046,0.04,0.008944271909999158,0.04,0.06,0.9770309668235593,0.9778869778869779,0.003976765724179859,0.970873786407767,0.9803921568627451,0.9346943412773102,0.9378643255207321,0.01298595395168417,0.9127707211881605,0.9450231608142369
a1,KNN_5,5,0.98133,0.980025,0.005401689550501758,0.9737,0.986675,0.9650045539985165,0.9705580230179853,0.014021250205084816,0.9459521648177114,0.9778765079369036,0.034999999999999996,0.01,0.03905124837953327,0.0,0.08,0.05700000000000001,0.06,0.010368220676663861,0.04,0.065,0.95420865517213,0.9635036496350365,0.022471568425532665,0.9296482412060302,0.9803921568627451,0.9346943412773102,0.9378643255207321,0.01298595395168417,0.9127707211881605,0.9450231608142369
a1,KNN_10,5,0.98357,0.9830749999999999,0.004760921654469827,0.976975,0.988275,0.9681372746764421,0.9701886160239628,0.01213934246652255,0.953426712514279,0.9811396520197387,0.015,0.005,0.01870828693386971,0.0,0.04,0.05600000000000001,0.055,0.0102469507659596,0.04,0.065,0.9651640847154013,0.9660194174757282,0.012632248253053924,0.9481481481481482,0.9803921568627451,0.9346943412773102,0.9378643255207321,0.01298595395168417,0.9127707211881605,0.9450231608142369
a2,CENTROID,5,0.9273938888888887,0.9180638888888889,0.04451981523212407,0.8679111111111112,0.9850916666666667,0.9385713906789419,0.9285479086138646,0.026341515778416456,0.9088420151146751,0.9768601147193078,0.22066666666666665,0.25333333333333335,0.10031616685925224,0.058333333333333334,0.32166666666666666,0.045000000000000005,0.04666666666666667,0.008819171036881969,0.035,0.05333333333333334,0.8517120180799754,0.8296296296296296,0.05962263605021544,0.7864734299516908,0.9440267335004177,0.9252002467461233,0.9255565127242537,0.012054415960543376,0.9111275541112016,0.9432129185553213
a2,KNN_5,5,0.9621316666666667,0.9605388888888888,0.017741842652607347,0.9364944444444444,0.9794694444444444,0.9536561106406374,0.9507504886323608,0.013848286974160996,0.9357846292892128,0.969321630657849,0.19533333333333333,0.205,0.09711390791802743,0.06,0.33166666666666667,0.044,0.045,0.00924962461700774,0.03,0.055,0.8680646646980528,0.8656987295825771,0.061055958847671336,0.7786407766990291,0.947103274559194,0.9252002467461233,0.9255565127242537,0.012054415960543376,0.9111275541112016,0.9432129185553213
a2,KNN_10,5,0.9634583333333333,0.9573305555555556,0.014964671230296515,0.9452527777777777,0.980375,0.9554890874938401,0.949520424794162,0.009704408624643173,0.9471004874750387,0.9678981316357439,0.18133333333333335,0.21333333333333335,0.07516093843657533,0.05333333333333334,0.245,0.041,0.043333333333333335,0.008628119403696522,0.02666666666666667,0.04833333333333333,0.8790601583270157,0.8613138686131386,0.04422871308191171,0.8381128584643849,0.9514237855946399,0.9252002467461233,0.9255565127242537,0.012054415960543376,0.9111275541112016,0.9432129185553213
a3,CENTROID,5,0.9903818445455252,0.9892571365708095,0.004061493804839224,0.9855939286243603,0.9948707449108529,0.985621268164406,0.9814441666615695,0.007377255310997902,0.9790668459865579,0.9938053135709966,0.02373300370828183,0.021013597033374538,0.011138571397843078,0.016069221260815822,0.04326328800988875,0.050432632880098895,0.049443757725587144,0.00938943338187043,0.03584672435105068,0.059332509270704575,0.963398071243509,0.9652650822669104,0.009182565896049462,0.9491109748620479,0.9736680955296999,0.9756363582245694,0.9752015800812851,0.005850355365774688,0.9695803191417974,0.9817508990838325
a3,KNN_5,5,0.9912060090361676,0.9916162577676052,0.0033542717007345475,0.9856145556555499,0.9944933466364951,0.9863623240777741,0.9892874998982504,0.0058937068715161,0.9784280452924786,0.9920727045146362,0.020519159456118662,0.012360939431396786,0.019711726217726242,0.0012360939431396785,0.04573547589616811,0.0484548825710754,0.049443757725587144,0.006679483849743536,0.03955500618046971,0.05686032138442522,0.9659175288508044,0.969258589511754,0.00956702331606491,0.9513247073321011,0.9752564876282438,0.9756363582245694,0.9752015800812851,0.005850355365774688,0.9695803191417974,0.9817508990838325
a3,KNN_10,5,0.9915201510815439,0.9920631767767132,0.0035828660568480034,0.9855626060955168,0.9951442440651447,0.9862571837504805,0.9888033804860785,0.006549981796881096,0.977026727724886,0.9928830651134236,0.020271940667490728,0.011124845488257108,0.020915206287367268,0.0,0.049443757725587144,0.048949320148331275,0.05315203955500618,0.009024332384891956,0.034610630407911,0.05686032138442522,0.9658050973251809,0.969258589511754,0.010364120149689965,0.9482120838471023,0.9741119807344973,0.9756363582245694,0.9752015800812851,0.005850355365774688,0.9695803191417974,0.9817508990838325
