class_name,k1_validation_nll_mean,k1_validation_nll_std,k2_validation_nll_mean,k2_validation_nll_std,delta_nll2_mean,delta_nll2_min,delta_nll2_max,delta_nll2_std,k2_all_seed_delta_gt_1,k2_min_train_component_ratio,k2_min_validation_component_count,k2_max_train_val_tv,k2_numerically_stable,k2_nondegenerate,k3_validation_nll_mean,k3_validation_nll_std,delta_nll3_mean,delta_nll3_min,delta_nll3_max,delta_nll3_std,k3_all_seed_delta_gt_1,k3_min_train_component_ratio,k3_min_validation_component_count,k3_max_train_val_tv,k3_numerically_stable,k3_nondegenerate,supported_multi_K,opendetect_multi_supported,opendetect_diagnosis
FTP,-91.09422677652434,0.0,-98.10157871458205,7.792199507834137e-05,7.007351938057719,7.007242572198976,7.007418329431971,7.792199507834136e-05,True,0.3731287888160337,3801,0.0032074617215291923,True,True,-103.46840311090239,0.2325360775182139,12.37417633437804,12.045320659810741,12.538604196385336,0.2325360775182139,True,0.09779784733391067,1051,0.008813668062210497,True,True,"2,3",True,Multi
Cridex,-98.39754945474512,0.0,-108.31964781052238,0.0,9.922098355777266,9.922098355777266,9.922098355777266,0.0,True,0.49862679279829114,810,0.006867712696214334,True,True,-110.53778875959468,1.779557443518941e-06,12.140239304849572,12.140238046512437,12.140241821523844,1.779557443518941e-06,True,0.01212999694842844,16,0.007020104975552019,True,True,"2,3",True,Multi
Miuref,-79.22366690764964,0.0,-90.6734270354197,0.0,11.449760127770062,11.449760127770062,11.449760127770062,0.0,True,0.36208495640882954,459,0.021580505370253883,True,True,-99.92909899363455,0.0,20.70543208598491,20.70543208598491,20.70543208598491,0.0,True,0.059358189575217955,93,0.020096550630873403,True,True,"2,3",True,Multi
Outlook,-91.0746217207881,0.0,-107.72757648808901,0.0,16.652954767300912,16.652954767300912,16.652954767300912,0.0,True,0.05765077255358033,48,0.006094247366738432,True,True,-108.66486056046732,0.00018388238350664868,17.590238839679213,17.589978944401054,17.590376528748365,0.00018388238350664868,True,0.0171124771556737,22,0.019317535197858386,True,True,"2,3",True,Multi
