class_name,trafficformer_k1_nll,trafficformer_k2_nll,trafficformer_k3_nll,trafficformer_delta2,trafficformer_delta3,opendetect_k1_nll,opendetect_k2_nll,opendetect_k3_nll,opendetect_delta2,opendetect_delta3,trafficformer_multi_supported,opendetect_multi_supported,encoder_case
FTP,-53.976444244384766,-69.76531982421875,-75.5079574584961,15.788875579833984,21.531513214111328,-91.09422677652434,-98.10157871458205,-103.4684031109024,7.007351938057719,12.37417633437804,True,True,Case A
Cridex,-99.04580688476562,-111.78173065185548,-114.30670166015624,12.735923767089858,15.26089477539061,-98.39754945474512,-108.31964781052238,-110.53778875959468,9.922098355777266,12.140239304849572,True,True,Case A
Miuref,-61.72096252441406,-74.84149932861328,-79.64418029785156,13.120536804199219,17.9232177734375,-79.22366690764964,-90.6734270354197,-99.92909899363455,11.449760127770062,20.70543208598491,True,True,Case A
Outlook,-91.3380126953125,-112.92625427246094,-118.5124740600586,21.588241577148438,27.174461364746094,-91.0746217207881,-107.727576488089,-108.66486056046732,16.652954767300912,17.590238839679213,True,True,Case A
