experiment,dataset,protocol_id,class_name,precision,recall,f1,support
E1,iscx_vpn,medium_seed2022,AIM,0.5576923076923077,0.5471698113207547,0.5523809523809524,53
E1,iscx_vpn,medium_seed2022,BitTorrent,0.7181818181818181,0.79,0.7523809523809524,100
E1,iscx_vpn,medium_seed2022,Email,0.7035398230088495,0.795,0.7464788732394366,200
E1,iscx_vpn,medium_seed2022,FTPS,0.7155963302752294,0.78,0.7464114832535885,200
E1,iscx_vpn,medium_seed2022,Facebook,0.819672131147541,0.75,0.783289817232376,200
E1,iscx_vpn,medium_seed2022,Gmail,0.6666666666666666,0.6296296296296297,0.6476190476190476,54
E1,iscx_vpn,medium_seed2022,ICQ,0.6410256410256411,0.4716981132075472,0.5434782608695652,53
E1,iscx_vpn,medium_seed2022,Netflix,0.5161290322580645,0.5423728813559322,0.5289256198347108,118
E1,iscx_vpn,medium_seed2022,SCP,0.6938775510204082,0.68,0.6868686868686869,200
E1,iscx_vpn,medium_seed2022,SFTP,0.7619047619047619,0.5161290322580645,0.6153846153846154,31
E1,iscx_vpn,medium_seed2022,Spotify,0.5,0.35443037974683544,0.4148148148148148,79
E1,iscx_vpn,medium_seed2022,Vimeo,0.5290322580645161,0.6666666666666666,0.5899280575539568,123
E1,iscx_vpn,medium_seed2022,VoIPBuster,0.8,0.72,0.7578947368421053,200
