setting,runs,val_accuracy_mean,val_accuracy_std,val_accuracy_min,val_accuracy_max,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_min,val_macro_f1_max,val_weighted_f1_mean,val_weighted_f1_std,val_weighted_f1_min,val_weighted_f1_max,weak_runs
Low,5,0.8763861044064285,0.04606736685372829,0.8226716839134525,0.9387755102040817,0.7911595002127664,0.1227565783904499,0.5813331165874582,0.8831192106445205,0.8672749810026152,0.042773507283373445,0.8204604118019244,0.9350647755390241,0
Medium,5,0.8404360542448053,0.1476909027758674,0.6431980906921241,0.9947671376242805,0.8022173004162629,0.12577498183415625,0.6774274800645641,0.9806677879116249,0.8219852152707061,0.16365412781132505,0.5965430821955676,0.9948026058408712,0
High,5,0.8887138426554027,0.08397471208489268,0.8068006182380216,0.9947561615102255,0.8697088700890638,0.08214777720683324,0.764400444446763,0.9833800928594778,0.8850144831313834,0.08745843471260063,0.79897308847662,0.9947105173319934,0
Overall,15,0.8685120004355457,0.0964506175533578,0.6431980906921241,0.9947671376242805,0.821028556906031,0.109748448613989,0.5813331165874582,0.9833800928594778,0.8580915598015683,0.1054274065799169,0.5965430821955676,0.9948026058408712,0
