protocol_id,class,local_label,train_support,val_support,precision,recall,f1,minority_class
low_seed2022,netflix,0,165,20,0.8571428571428571,0.9,0.8780487804878048,True
low_seed2022,rsync,1,1530,191,0.6329588014981273,0.8848167539267016,0.7379912663755458,False
low_seed2022,sftp,2,1336,166,0.7555555555555555,0.4096385542168674,0.53125,False
low_seed2022,skype,3,1017,126,0.984375,1.0,0.9921259842519684,False
low_seed2022,ssh,4,10851,1356,0.9992630803242448,1.0,0.9996314043494288,False
low_seed2022,vimeo,5,976,121,0.9914529914529916,0.9586776859504132,0.9747899159663866,True
low_seed2022,youtube,6,273,34,0.9428571428571428,0.9705882352941176,0.9565217391304348,True
low_seed2022,zoiper,7,753,93,1.0,0.989247311827957,0.9945945945945946,True
low_seed2023,rdp,0,36,4,1.0,1.0,1.0,True
low_seed2023,rsync,1,1530,191,0.4176706827309236,0.5445026178010471,0.4727272727272727,False
low_seed2023,scp,2,1832,229,0.4619289340101523,0.3973799126637554,0.4272300469483567,False
low_seed2023,sftp,3,1336,166,0.5571428571428572,0.4698795180722891,0.5098039215686274,False
low_seed2023,ssh,4,10851,1356,1.0,1.0,1.0,False
low_seed2023,vimeo,5,976,121,0.9916666666666668,0.9834710743801652,0.9875518672199172,True
low_seed2023,youtube,6,273,34,0.9428571428571428,0.9705882352941176,0.9565217391304348,True
low_seed2023,zoiper,7,753,93,1.0,1.0,1.0,True
low_seed2024,netflix,0,165,20,1.0,0.7,0.8235294117647058,True
low_seed2024,rdp,1,36,4,1.0,0.75,0.8571428571428571,True
low_seed2024,scp,2,1832,229,0.7142857142857143,0.9170305676855895,0.8030592734225622,False
low_seed2024,sftp,3,1336,166,0.8118811881188119,0.4939759036144578,0.6142322097378278,False
low_seed2024,skype,4,1017,126,0.984375,1.0,0.9921259842519684,False
low_seed2024,vimeo,5,976,121,0.967741935483871,0.9917355371900828,0.979591836734694,False
low_seed2024,youtube,6,273,34,0.8888888888888888,0.9411764705882352,0.9142857142857144,True
low_seed2024,zoiper,7,753,93,1.0,1.0,1.0,True
low_seed2025,netflix,0,165,20,0.4545454545454545,0.25,0.3225806451612903,True
low_seed2025,rdp,1,36,4,0.4,0.5,0.4444444444444445,True
low_seed2025,rsync,2,1530,191,0.348993288590604,0.2722513089005235,0.3058823529411764,False
low_seed2025,scp,3,1832,229,0.4216417910447761,0.4934497816593886,0.4547283702213279,False
low_seed2025,sftp,4,1336,166,0.4260355029585799,0.4337349397590361,0.4298507462686567,False
low_seed2025,skype,5,1017,126,0.984126984126984,0.984126984126984,0.984126984126984,True
low_seed2025,ssh,6,10851,1356,0.9985250737463128,0.9985250737463128,0.9985250737463128,False
low_seed2025,youtube,7,273,34,0.6428571428571429,0.7941176470588235,0.7105263157894737,True
low_seed2026,netflix,0,165,20,1.0,0.85,0.9189189189189187,True
low_seed2026,rdp,1,36,4,1.0,1.0,1.0,True
low_seed2026,rsync,2,1530,191,0.0,0.0,0.0,False
low_seed2026,scp,3,1832,229,0.541371158392435,1.0,0.7024539877300614,False
low_seed2026,skype,4,1017,126,0.9921259842519684,1.0,0.9960474308300395,False
low_seed2026,ssh,5,10851,1356,1.0,0.9970501474926252,0.9985228951255538,False
low_seed2026,vimeo,6,976,121,0.9836065573770492,0.9917355371900828,0.9876543209876544,True
low_seed2026,zoiper,7,753,93,0.9789473684210528,1.0,0.9893617021276596,True
medium_seed2022,netflix,0,165,20,0.9473684210526316,0.9,0.9230769230769232,True
medium_seed2022,rsync,1,1530,191,0.6653061224489796,0.8534031413612565,0.7477064220183486,False
medium_seed2022,sftp,2,1336,166,0.75,0.5060240963855421,0.6043165467625898,False
medium_seed2022,ssh,3,10851,1356,0.9985272459499264,1.0,0.9992630803242448,False
medium_seed2022,vimeo,4,976,121,0.9914529914529916,0.9586776859504132,0.9747899159663866,False
medium_seed2022,youtube,5,273,34,0.918918918918919,1.0,0.9577464788732396,True
