protocol_id,class,local_label,train_support,val_support,precision,recall,f1,minority_class,native_precision,native_recall,native_f1,native_support,delta_precision_our_minus_native,delta_recall_our_minus_native,delta_f1_our_minus_native
low_seed2022,netflix,0,165,20,0.8571428571428571,0.9,0.8780487804878048,True,0.9444444444444444,0.85,0.8947368421052632,20,-0.08730158730158732,0.050000000000000044,-0.016688061617458394
low_seed2022,rsync,1,1530,191,0.6329588014981273,0.8848167539267016,0.7379912663755458,False,0.665,0.6963350785340314,0.680306905370844,191,-0.0320411985018727,0.18848167539267013,0.057684361004701756
low_seed2022,sftp,2,1336,166,0.7555555555555555,0.4096385542168674,0.53125,False,0.6298701298701299,0.5843373493975904,0.60625,166,0.12568542568542562,-0.174698795180723,-0.07499999999999996
low_seed2022,skype,3,1017,126,0.984375,1.0,0.9921259842519684,False,0.9692307692307692,1.0,0.984375,126,0.015144230769230771,0.0,0.007750984251968407
low_seed2022,ssh,4,10851,1356,0.9992630803242448,1.0,0.9996314043494288,False,0.9977924944812362,1.0,0.9988950276243094,1356,0.0014705858430086316,0.0,0.000736376725119392
low_seed2022,vimeo,5,976,121,0.9914529914529916,0.9586776859504132,0.9747899159663866,True,0.9915966386554622,0.975206611570248,0.9833333333333332,121,-0.00014364720247062035,-0.016528925619834767,-0.008543417366946526
low_seed2022,youtube,6,273,34,0.9428571428571428,0.9705882352941176,0.9565217391304348,True,0.9166666666666666,0.9705882352941176,0.9428571428571428,34,0.02619047619047621,0.0,0.013664596273291973
low_seed2022,zoiper,7,753,93,1.0,0.989247311827957,0.9945945945945946,True,1.0,0.978494623655914,0.9891304347826086,93,0.0,0.010752688172043001,0.005464159811986002
low_seed2023,rdp,0,36,4,1.0,1.0,1.0,True,1.0,1.0,1.0,4,0.0,0.0,0.0
low_seed2023,rsync,1,1530,191,0.4176706827309236,0.5445026178010471,0.4727272727272727,False,0.4230769230769231,0.3455497382198952,0.3804034582132565,191,-0.005406240345999458,0.19895287958115193,0.09232381451401622
low_seed2023,scp,2,1832,229,0.4619289340101523,0.3973799126637554,0.4272300469483567,False,0.4232081911262799,0.5414847161572053,0.475095785440613,229,0.038720742883872394,-0.1441048034934499,-0.04786573849225628
low_seed2023,sftp,3,1336,166,0.5571428571428572,0.4698795180722891,0.5098039215686274,False,0.5572519083969466,0.4397590361445783,0.4915824915824915,166,-0.00010905125408944283,0.03012048192771083,0.018221429986135906
low_seed2023,ssh,4,10851,1356,1.0,1.0,1.0,False,0.9955947136563876,1.0,0.9977924944812362,1356,0.004405286343612369,0.0,0.002207505518763808
low_seed2023,vimeo,5,976,121,0.9916666666666668,0.9834710743801652,0.9875518672199172,True,0.9916666666666668,0.9834710743801652,0.9875518672199172,121,0.0,0.0,0.0
low_seed2023,youtube,6,273,34,0.9428571428571428,0.9705882352941176,0.9565217391304348,True,0.9428571428571428,0.9705882352941176,0.9565217391304348,34,0.0,0.0,0.0
low_seed2023,zoiper,7,753,93,1.0,1.0,1.0,True,1.0,1.0,1.0,93,0.0,0.0,0.0
low_seed2024,netflix,0,165,20,1.0,0.7,0.8235294117647058,True,1.0,0.8,0.8888888888888888,20,0.0,-0.10000000000000009,-0.065359477124183
low_seed2024,rdp,1,36,4,1.0,0.75,0.8571428571428571,True,0.5,0.25,0.3333333333333333,4,0.5,0.5,0.5238095238095237
low_seed2024,scp,2,1832,229,0.7142857142857143,0.9170305676855895,0.8030592734225622,False,0.7147766323024055,0.9082969432314412,0.8,229,-0.0004909180166912108,0.008733624454148381,0.003059273422562181
low_seed2024,sftp,3,1336,166,0.8118811881188119,0.4939759036144578,0.6142322097378278,False,0.7980769230769231,0.5,0.6148148148148148,166,0.013804265041888808,-0.006024096385542188,-0.0005826050769870417
low_seed2024,skype,4,1017,126,0.984375,1.0,0.9921259842519684,False,0.9689922480620154,0.992063492063492,0.9803921568627452,126,0.015382751937984551,0.00793650793650802,0.01173382738922324
low_seed2024,vimeo,5,976,121,0.967741935483871,0.9917355371900828,0.979591836734694,False,1.0,0.9917355371900828,0.995850622406639,121,-0.032258064516129004,0.0,-0.016258785671945053
low_seed2024,youtube,6,273,34,0.8888888888888888,0.9411764705882352,0.9142857142857144,True,0.8947368421052632,1.0,0.9444444444444444,34,-0.005847953216374324,-0.05882352941176483,-0.03015873015873005
low_seed2024,zoiper,7,753,93,1.0,1.0,1.0,True,1.0,1.0,1.0,93,0.0,0.0,0.0
low_seed2025,netflix,0,165,20,0.4545454545454545,0.25,0.3225806451612903,True,0.9375,0.75,0.8333333333333334,20,-0.4829545454545455,-0.5,-0.510752688172043
low_seed2025,rdp,1,36,4,0.4,0.5,0.4444444444444445,True,1.0,0.25,0.4,4,-0.6,0.25,0.04444444444444445
low_seed2025,rsync,2,1530,191,0.348993288590604,0.2722513089005235,0.3058823529411764,False,0.3942307692307692,0.643979057591623,0.489065606361829,191,-0.045237480640165195,-0.3717277486910995,-0.18318325342065261
low_seed2025,scp,3,1832,229,0.4216417910447761,0.4934497816593886,0.4547283702213279,False,0.4672131147540984,0.2489082969432314,0.3247863247863248,229,-0.045571323709322265,0.24454148471615716,0.1299420454350031
low_seed2025,sftp,4,1336,166,0.4260355029585799,0.4337349397590361,0.4298507462686567,False,0.5734265734265734,0.4939759036144578,0.5307443365695793,166,-0.14739107046799355,-0.060240963855421714,-0.1008935903009226
low_seed2025,skype,5,1017,126,0.984126984126984,0.984126984126984,0.984126984126984,True,0.9618320610687024,1.0,0.980544747081712,126,0.022294923058281513,-0.01587301587301604,0.003582237045271941
low_seed2025,ssh,6,10851,1356,0.9985250737463128,0.9985250737463128,0.9985250737463128,False,0.9926686217008798,0.9985250737463128,0.9955882352941176,1356,0.005856452045433058,0.0,0.0029368384521952784
low_seed2025,youtube,7,273,34,0.6428571428571429,0.7941176470588235,0.7105263157894737,True,0.8648648648648649,0.9411764705882352,0.9014084507042254,34,-0.222007722007722,-0.1470588235294117,-0.1908821349147517
low_seed2026,netflix,0,165,20,1.0,0.85,0.9189189189189187,True,1.0,0.85,0.918918918918919,20,0.0,0.0,-2.220446049250313e-16
low_seed2026,rdp,1,36,4,1.0,1.0,1.0,True,1.0,0.5,0.6666666666666666,4,0.0,0.5,0.33333333333333337
low_seed2026,rsync,2,1530,191,0.0,0.0,0.0,False,0.0,0.0,0.0,191,0.0,0.0,0.0
low_seed2026,scp,3,1832,229,0.541371158392435,1.0,0.7024539877300614,False,0.5503685503685504,0.9781659388646288,0.7044025157232704,229,-0.008997391976115376,0.02183406113537123,-0.0019485279932089927
low_seed2026,skype,4,1017,126,0.9921259842519684,1.0,0.9960474308300395,False,0.992063492063492,0.992063492063492,0.992063492063492,126,6.249218847642624e-05,0.00793650793650802,0.003983938766547568
low_seed2026,ssh,5,10851,1356,1.0,0.9970501474926252,0.9985228951255538,False,0.9883296863603208,0.9992625368731564,0.9937660432709936,1356,0.011670313639679186,-0.0022123893805311434,0.004756851854560207
low_seed2026,vimeo,6,976,121,0.9836065573770492,0.9917355371900828,0.9876543209876544,True,0.975609756097561,0.9917355371900828,0.9836065573770492,121,0.007996801279488208,0.0,0.004047763610605215
low_seed2026,zoiper,7,753,93,0.9789473684210528,1.0,0.9893617021276596,True,0.9787234042553192,0.989247311827957,0.983957219251337,93,0.00022396416573355893,0.010752688172043001,0.005404482876322669
medium_seed2022,netflix,0,165,20,0.9473684210526316,0.9,0.9230769230769232,True,0.9411764705882352,0.8,0.8648648648648649,20,0.006191950464396467,0.09999999999999998,0.058212058212058326
medium_seed2022,rsync,1,1530,191,0.6653061224489796,0.8534031413612565,0.7477064220183486,False,0.63671875,0.8534031413612565,0.7293064876957495,191,0.028587372448979576,0.0,0.01839993432259912
medium_seed2022,sftp,2,1336,166,0.75,0.5060240963855421,0.6043165467625898,False,0.7216494845360825,0.4216867469879518,0.532319391634981,166,0.028350515463917536,0.08433734939759036,0.07199715512760885
medium_seed2022,ssh,3,10851,1356,0.9985272459499264,1.0,0.9992630803242448,False,0.9955947136563876,1.0,0.9977924944812362,1356,0.0029325322935387366,0.0,0.0014705858430086316
medium_seed2022,vimeo,4,976,121,0.9914529914529916,0.9586776859504132,0.9747899159663866,False,0.967741935483871,0.9917355371900828,0.979591836734694,121,0.023711055969120598,-0.03305785123966953,-0.004801920768307322
medium_seed2022,youtube,5,273,34,0.918918918918919,1.0,0.9577464788732396,True,1.0,0.9411764705882352,0.9696969696969696,34,-0.08108108108108103,0.05882352941176483,-0.011950490823730009
medium_seed2022,zoiper,6,753,93,0.978494623655914,0.978494623655914,0.978494623655914,True,1.0,1.0,1.0,93,-0.021505376344086002,-0.021505376344086002,-0.021505376344086002
medium_seed2023,rdp,0,36,4,1.0,1.0,1.0,True,0.75,0.75,0.75,4,0.25,0.25,0.25
medium_seed2023,rsync,1,1530,191,0.72,0.094240837696335,0.1666666666666666,False,0.3785046728971962,0.4240837696335078,0.4,191,0.3414953271028038,-0.3298429319371728,-0.23333333333333342
medium_seed2023,scp,2,1832,229,0.4353182751540041,0.925764192139738,0.5921787709497207,False,0.4224137931034483,0.4279475982532751,0.4251626898047722,229,0.012904482050555832,0.49781659388646293,0.16701608114494854
medium_seed2023,sftp,3,1336,166,0.8243243243243243,0.3674698795180723,0.5083333333333334,False,0.4785714285714286,0.4036144578313253,0.4379084967320261,166,0.34575289575289575,-0.03614457831325302,0.07042483660130733
medium_seed2023,vimeo,4,976,121,1.0,0.9669421487603306,0.9831932773109244,False,1.0,0.9669421487603306,0.9831932773109244,121,0.0,0.0,0.0
