setting,runs,delta_accuracy_mean,delta_accuracy_std,our_wins_accuracy,ties_accuracy,delta_macro_f1_mean,delta_macro_f1_std,our_wins_macro_f1,ties_macro_f1,delta_weighted_f1_mean,delta_weighted_f1_std,our_wins_weighted_f1,ties_weighted_f1
Low,5,-0.001720231947551154,0.00995978839262317,3,1,0.0005242694553872385,0.06110780531714582,3,0,-0.0012399147702416569,0.008655822610174673,3,0
Medium,5,0.0015077093314742607,0.037709056545308074,2,0,-0.027406253551542227,0.0850882146214674,2,0,-0.0076299319917817465,0.02734389742616964,3,0
High,5,0.001565983724770259,0.019291767371513075,2,0,-0.002743825450380788,0.016349574835894606,3,0,0.004711051781204234,0.015642079154598473,2,0
Overall,15,0.00045115370289778857,0.02331268941984049,7,1,-0.009875269848845259,0.05812401979174169,8,0,-0.0013862649936063898,0.018224898326746643,8,0
