replicate,delta_unknown_far_multi_minus_single,delta_auroc_multi_minus_single,delta_auprc_multi_minus_single
0,-0.023772559673976318,-0.009247210215231672,-0.002924244467032655
1,-0.0223170968367941,-0.009236540716904384,-0.0029378131949967523
2,-0.024548806520473518,-0.00957117841002264,-0.00292795626920328
3,-0.026392392780904328,-0.009825411568043507,-0.0034596819067478357
4,-0.02115272656704832,-0.009737944302604884,-0.004124204134956289
5,-0.022511158548418397,-0.009374103099224151,-0.002006245046600852
6,-0.023772559673976332,-0.009034833159835665,-0.0019513992110457012
7,-0.022608189404230553,-0.00969470832846464,-0.003254460965328665
8,-0.022414127692606256,-0.009830151891682015,-0.0036957965682699045
9,-0.024160683097224925,-0.00922131437512208,-0.0024547819740615706
10,-0.02163788084610907,-0.00963895800045611,-0.0028138711986462894
11,-0.025422084222782845,-0.009662418329640099,-0.003263814265985099
12,-0.0247428682320978,-0.009419302059982315,-0.0038934035194301275
13,-0.021540849990296915,-0.010541265786553233,-0.004634954976476924
14,-0.022705220260042694,-0.009364082065106305,-0.003272260862285159
15,-0.02348146710653988,-0.009375070768683713,-0.0026738429240745765
16,-0.019988356297302542,-0.009905587381268455,-0.0038114902834932574
17,-0.02173491170192121,-0.009511389004555504,-0.002634631691712741
18,-0.022026004269357663,-0.00926966014669417,-0.00342125963448503
19,-0.022802251115854835,-0.009263451981589732,-0.002866786143167821
20,-0.022220065980981946,-0.009855738580250017,-0.0039523985911406045
21,-0.023190374539103442,-0.009495355852652154,-0.002975138214633688
22,-0.02435474480884922,-0.008839846507013638,-0.001958214095830857
23,-0.02260818940423054,-0.009455143531394872,-0.0026333787941668074
24,-0.02202600426935765,-0.008911433939606361,-0.003176299196447907
25,-0.023675528818164177,-0.008767281351252487,-0.002344091699553408
26,-0.02348146710653988,-0.009023618247812837,-0.0026277117680995055
27,-0.025033960799534252,-0.008892497779324104,-0.0015708343907836486
28,-0.02115272656704832,-0.009712357614036882,-0.004058400371255266
29,-0.023287405394915583,-0.009421845648276195,-0.0022688637526084854
30,-0.02202600426935765,-0.009430800989274735,-0.0038617755972095713
31,-0.022123035125169804,-0.009688771613494351,-0.0031157373915937647
32,-0.021928973413545508,-0.010203292775583295,-0.003322190928393476
33,-0.02581020764603144,-0.009592208255135404,-0.003080811826568608
34,-0.023384436250727725,-0.009735528899096457,-0.002556651170856128
35,-0.021637880846109056,-0.009192756815641578,-0.002402331294651283
