setting,class_name,train_samples,validation_samples,train_component_weights,validation_empirical_weights,validation_component_counts,total_variation,min_component_weight,tiny_component_lt_1pct,very_tiny_component_lt_0_5pct,validation_empty_component,converged,n_iter
A-3,Gmail,6903,863,"[0.36912243738953043, 0.6308775626104695]","[0.3603707995365006, 0.6396292004634995]","[311, 552]",0.008751637853029931,0.36912243738953043,False,False,False,True,9
A-3,FTP,80830,10103,"[0.5026058048807827, 0.4973941951192174]","[0.5061862813025834, 0.4938137186974166]","[5114, 4989]",0.00358047642180076,0.4973941951192174,False,False,False,True,34
A-3,Nsis-ay,4855,607,"[0.8616133405824968, 0.13838665941750308]","[0.8830313014827018, 0.11696869851729819]","[536, 71]",0.021417960900204938,0.13838665941750308,False,False,False,True,67
A-3,Facetime,4800,600,"[0.8476599321754191, 0.15234006782458087]","[0.8316666666666667, 0.16833333333333333]","[499, 101]",0.015993265508752463,0.15234006782458087,False,False,False,True,32
A-3,Weibo,31960,3995,"[0.9649339013362762, 0.03506609866372372]","[0.9619524405506884, 0.03804755944931164]","[3843, 152]",0.002981460785587864,0.03506609866372372,False,False,False,True,11
A-3,Cridex,13108,1638,"[0.4987793713762588, 0.5012206286237413]","[0.5054945054945055, 0.4945054945054945]","[828, 810]",0.0067151341182467295,0.4987793713762588,False,False,False,True,3
A-3,Zeus,8776,1097,"[0.5191361546526205, 0.48086384534737947]","[0.5259799453053783, 0.4740200546946217]","[577, 520]",0.006843790652757753,0.48086384534737947,False,False,False,True,4
A-3,SMB,31150,3893,"[0.7803345063713382, 0.2196654936286618]","[0.7898792704854868, 0.21012072951451322]","[3075, 818]",0.009544764114148604,0.2196654936286618,False,False,False,True,3
A-3,BitTorrent,6014,752,"[0.9384735977398923, 0.06152640226010775]","[0.9321808510638298, 0.0678191489361702]","[701, 51]",0.006292746676062479,0.06152640226010775,False,False,False,True,22
A-3,WorldOfWarcraft,6306,789,"[0.04416494714511897, 0.955835052854881]","[0.026615969581749048, 0.973384030418251]","[21, 768]",0.017548977563369924,0.04416494714511897,False,False,False,True,34
A-3,Shifu,7705,963,"[0.2346528228423089, 0.7653471771576911]","[0.22429906542056074, 0.7757009345794392]","[216, 747]",0.010353757421748155,0.2346528228423089,False,False,False,True,5
A-3,Outlook,6019,753,"[0.9663632979535667, 0.033636702046433264]","[0.9575033200531209, 0.04249667994687915]","[721, 32]",0.008859977900445837,0.033636702046433264,False,False,False,True,22
A-3,Virut,26482,3310,"[0.21830745395521953, 0.7816925460447806]","[0.22688821752265861, 0.7731117824773414]","[751, 2559]",0.008580763567439142,0.21830745395521953,False,False,False,True,12
A-3,MySQL,68871,8609,"[0.4131440781608201, 0.5868559218391799]","[0.41433383668254153, 0.5856661633174585]","[3567, 5042]",0.001189758521721429,0.4131440781608201,False,False,False,True,27
A-3,Skype,5057,632,"[0.8129919981327555, 0.18700800186724453]","[0.8022151898734177, 0.19778481012658228]","[507, 125]",0.010776808259337772,0.18700800186724453,False,False,False,True,59
