epoch,learning_rate,prototype_reset,elapsed_seconds,val_composite_score,stability_guard_train_activations,stability_guard_val_activations,stability_guard_cumulative_activations,train_total,train_rec,train_kld,train_ent,train_dis,train_accuracy,train_macro_f1,train_samples,val_total,val_rec,val_kld,val_ent,val_dis,val_accuracy,val_macro_f1,val_samples
1,0.001,False,152.89335775375366,0.8641279169829373,0,0,0,0.7131935387742115,0.06030525404789452,36.48978056415618,2.708050251084279,0.5195003656316325,0.8539937053970392,0.7531099141303138,308836,0.38784542074229184,0.06954862812246211,14.819510939059239,2.7080502522669856,0.3013667065749427,0.8977308050979174,0.8329498398629779,38604
2,0.001,False,300.23988819122314,0.9479268047109335,0,0,0,0.17854491348289545,0.05932975690174256,12.48797041851466,2.708050251084279,0.10278207304147677,0.969427139323136,0.9273906785006705,308836,0.16005825410295849,0.06954862812246211,11.907742527281975,2.7080502522669856,0.08706688218003245,0.9743031810175111,0.9229409099465722,38604
3,0.001,False,447.7780361175537,0.8600413689140313,0,0,0,0.13431148435462348,0.059333737532129734,10.041922154166135,2.708050251084279,0.0706180455958513,0.9798663368260176,0.9501730673289926,308836,1.081642657787043,0.06954862812246211,11.059385002443745,2.7080502522669856,1.017545472011827,0.8320899388664387,0.8899359528664235,38604
4,0.001,False,595.2801115512848,0.9465749529588275,0,0,0,0.11657806694473631,0.05932898417750753,8.879324014019893,2.708050251084279,0.05863774059737378,0.9838263673924025,0.9590583295687518,308836,0.39492538777018765,0.06954862812246211,10.870348132221133,2.7080502522669856,0.3283272899564542,0.9471557351569786,0.945994882578688,38604
5,0.001,False,742.7266495227814,0.9928009796410208,0,0,0,0.10458244062186903,0.059325040997894256,8.012146108026254,2.708050251084279,0.05093953203214066,0.9861803675737284,0.9645888131234375,308836,0.07385325875878643,0.06954862812246211,7.5621133745426885,2.7080502522669856,0.022266028656414562,0.9952854626463579,0.9903288695395394,38604
6,0.001,False,890.5020332336426,0.9917011053466912,0,0,0,0.14260268845034169,0.05935928810073601,9.071675111855635,2.708050251084279,0.08382639846434105,0.9789661826989081,0.9519860707997704,308836,0.0636262201315479,0.06954862812246211,6.632029750287601,2.7080502522669856,0.016661384378106048,0.995492695057507,0.9879382885341473,38604
7,0.001,False,1037.902366399765,0.9942973070855675,0,0,0,0.08174821829769281,0.05932815960925916,6.322816445584183,2.708050251084279,0.03647964289575106,0.9900885907083371,0.9743516897743878,308836,0.05435513319786738,0.06954862812246211,5.544199872641919,2.7080502522669856,0.012810191112751789,0.9968915138327634,0.9917165670813348,38604
8,0.001,False,1185.7673749923706,0.9918947609793252,0,0,0,0.08686124051760073,0.05933798413769689,6.156971281435013,2.708050251084279,0.042451702306317354,0.9892078643681436,0.9734880929902155,308836,0.06040079034297482,0.06954862812246211,5.742185461324752,2.7080502522669856,0.017891325790725734,0.995492695057507,0.9883227407256823,38604
9,0.001,False,1333.2580296993256,0.9921421041604708,0,0,0,0.07431307163135689,0.05931306256135942,5.264619265977546,2.708050251084279,0.0343247833240035,0.9911312152728309,0.9776956829865829,308836,0.05571886251385552,0.06954862812246211,4.766978975923898,2.7080502522669856,0.01808640670751972,0.995492695057507,0.988813992183836,38604
10,0.001,False,1480.6142258644104,0.9948842191340447,0,0,0,0.07752515691054469,0.05931220349940001,5.072759599738411,2.708050251084279,0.03851713296321037,0.989984975844785,0.9762289893460802,308836,0.0486793997085239,0.06954862812246211,4.440985951519003,2.7080502522669856,0.012649724768335159,0.9968397057299762,0.9929363896190769,38604
