setting,class_name,detector,warning_category,warning_message,converged,n_iter
A-3,Gmail,Single-Full,,,True,2
A-3,Gmail,Multi-Full-K2,,,True,9
A-3,FTP,Single-Full,,,True,2
A-3,FTP,Multi-Full-K2,,,True,34
A-3,Nsis-ay,Single-Full,,,True,2
A-3,Nsis-ay,Multi-Full-K2,,,True,67
A-3,Facetime,Single-Full,,,True,2
A-3,Facetime,Multi-Full-K2,,,True,32
A-3,Weibo,Single-Full,,,True,2
A-3,Weibo,Multi-Full-K2,,,True,11
A-3,Cridex,Single-Full,,,True,2
A-3,Cridex,Multi-Full-K2,,,True,3
A-3,Zeus,Single-Full,,,True,2
A-3,Zeus,Multi-Full-K2,,,True,4
A-3,SMB,Single-Full,,,True,2
A-3,SMB,Multi-Full-K2,,,True,3
A-3,BitTorrent,Single-Full,,,True,2
A-3,BitTorrent,Multi-Full-K2,,,True,22
A-3,WorldOfWarcraft,Single-Full,,,True,2
A-3,WorldOfWarcraft,Multi-Full-K2,,,True,34
A-3,Shifu,Single-Full,,,True,2
A-3,Shifu,Multi-Full-K2,,,True,5
A-3,Outlook,Single-Full,,,True,2
A-3,Outlook,Multi-Full-K2,,,True,22
A-3,Virut,Single-Full,,,True,2
A-3,Virut,Multi-Full-K2,,,True,12
A-3,MySQL,Single-Full,,,True,2
A-3,MySQL,Multi-Full-K2,,,True,27
A-3,Skype,Single-Full,,,True,2
A-3,Skype,Multi-Full-K2,,,True,59
