epoch,learning_rate,prototype_reset,elapsed_seconds,val_composite_score,train_total,train_rec,train_kld,train_ent,train_dis,train_accuracy,train_macro_f1,train_samples,val_total,val_rec,val_kld,val_ent,val_dis,val_accuracy,val_macro_f1,val_samples
1,0.001,False,186.06813168525696,0.8073083763389812,0.813732470671034,0.053819008043098755,38.952244236111355,2.944438934326172,0.6070150315458642,0.8174824047149641,0.7247101070282426,384478,0.6181685731734881,0.06211793396386529,18.488882731452744,2.9444389365238752,0.5132576636588669,0.8690567843692129,0.7537525867543754,48059
2,0.001,False,370.472962141037,0.9608140732564895,0.2502864154191373,0.053005278162322075,13.92484918711566,2.944438934326172,0.16650748750235475,0.9415129084108844,0.9015970421672893,384478,0.15751028672691966,0.06211793396386529,12.101051167132676,2.9444389365238752,0.08238416918942323,0.9652510455897959,0.9564177051652127,48059
3,0.001,False,555.2355237007141,0.9648015972550453,0.1943992095828594,0.05303393454408752,11.17467613581962,2.944438934326172,0.12415926199084142,0.9543927090756819,0.9274258958039048,384478,0.1427486466836891,0.06211793396386529,9.801005751649232,2.9444389365238752,0.07910636510977413,0.9680600928025969,0.9615649643452746,48059
4,0.001,False,739.4528858661652,0.971922817422206,0.1709554955567212,0.05302006016306002,9.752700297317885,2.944438934326172,0.10774341696310684,0.9602578040876201,0.9384257225238126,384478,0.11552362888152264,0.06211793396386529,8.935513597443675,2.9444389365238752,0.056093745543221406,0.9731579932999022,0.9706907730513737,48059
5,0.001,False,923.6131596565247,0.9737542955734538,0.15941183859554467,0.053032675712959026,8.782003783194456,2.944438934326172,0.10101956059098581,0.9625622272275657,0.9442177380201959,384478,0.1055008980292995,0.06211793396386529,7.669052066119161,2.9444389365238752,0.05238477798596326,0.975550885370066,0.9719643108686423,48059
6,0.001,False,1107.9724717140198,0.93845214602963,0.1394758693836792,0.05303162195012897,7.630102406189835,2.944438934326172,0.08677186448135965,0.966146307461025,0.9517625898526618,384478,0.1656526977032353,0.06211793396386529,7.596189328304016,2.9444389365238752,0.11320499230462473,0.9498949208264841,0.9272817772679239,48059
7,0.001,False,1292.2252869606018,0.9729270165273294,0.13264603732715582,0.0530085981479968,6.8274291238674705,2.944438934326172,0.08394136169000022,0.9673661431863462,0.954432369690741,384478,0.09772018038328475,0.06211793396386529,6.064870576648771,2.9444389365238752,0.052626174314577716,0.9750723069560332,0.9707911452311417,48059
8,0.001,False,1476.203030347824,0.9744435014463079,0.12012470922145453,0.05300812704805579,6.069703819859155,2.944438934326172,0.07516477934211989,0.9696601626100844,0.9584269894501152,384478,0.09735455372236465,0.06211793396386529,6.0403571226972925,2.9444389365238752,0.05238189363993259,0.9760918870554943,0.9728006739085081,48059
9,0.001,False,1660.1289846897125,0.9716134033936175,0.11858587022281965,0.05302822962370354,5.6376515543992465,2.944438934326172,0.07578922318899804,0.9697095802620697,0.9588662736286344,384478,0.0962993748044672,0.06211793396386529,5.380882334740422,2.9444389365238752,0.05463535519011655,0.9732204165712978,0.9700116885718807,48059
10,0.001,False,1843.939216852188,0.9775977972476885,0.10924269617790897,0.053023083079472295,5.040695561247912,2.944438934326172,0.06939890322222038,0.9714313952943991,0.9621554788916639,384478,0.08141339576748635,0.06211793396386529,4.275897438486119,2.9444389365238752,0.04522726192402853,0.9782975093114713,0.976899085384849,48059
11,0.001,False,2027.9490804672241,0.9731228807999414,0.10744245978698762,0.035931290695420545,4.734085180156695,2.944438934326172,0.06921626451227454,0.9714079869329324,0.9624529937453604,384478,0.09170444973394336,0.026040643975234784,4.676963080265278,2.9444389365238752,0.05373591607099619,0.9760086560269668,0.9702541200708943,48059
12,0.001,False,2211.844336748123,0.9789468996824603,0.10198783336318415,0.024694916056419717,4.35768771612716,2.944438934326172,0.06568213682521627,0.972383335327379,0.9644707134487924,384478,0.07810901521829638,0.010127628108451612,4.022615178470424,2.9444389365238752,0.04344030846883879,0.9788385109968997,0.9790553123748579,48059
13,0.001,False,2395.7801191806793,0.9800610705371811,0.09519206515221168,0.011290411011458279,3.9485288785160124,2.944438934326172,0.0609756526153377,0.9732078298368178,0.9663076256051553,384478,0.07242583079007885,0.007676661324325947,3.682020385161319,2.9444389365238752,0.03945241273310951,0.9799413221248882,0.9801808482194605,48059
