replicate,delta_unknown_far_multi_minus_single,delta_auroc_multi_minus_single,delta_auprc_multi_minus_single
0,0.09647058823529409,-0.01473201336047203,-0.011011820442748094
1,0.10352941176470587,-0.016613225594434566,-0.018676593877836295
2,0.10000000000000009,-0.015599881033539376,-0.017821575186078437
3,0.10235294117647054,-0.01498140231103362,-0.005689141415530313
4,0.10000000000000003,-0.015254143937177833,-0.008739490140067724
5,0.09882352941176475,-0.01507625725640327,-0.010936385169759477
6,0.10588235294117643,-0.014715808463998559,-0.019328750239199055
7,0.09176470588235297,-0.014937830232902627,-0.0103351120867885
8,0.1011764705882352,-0.015243079566776063,-0.017998036149918906
9,0.10823529411764704,-0.01610005422031069,-0.01621677937929583
10,0.0811764705882353,-0.015209127616007456,-0.01158156115662018
11,0.10705882352941176,-0.015820825739837896,-0.013286822092885231
12,0.09529411764705886,-0.015369536508138437,-0.011766672545044876
13,0.09764705882352942,-0.01495038780373481,-0.010225764315241664
14,0.08705882352941174,-0.014919618083391706,-0.015000977439665913
15,0.09411764705882353,-0.015509456732069604,-0.013663936050053477
16,0.09529411764705875,-0.015409706047584182,-0.007804511052454111
17,0.09176470588235286,-0.016114937267222906,-0.015206116532867575
18,0.10117647058823531,-0.015273090447556315,-0.015894787367739
19,0.09411764705882358,-0.014138160205718897,-0.010298459618221817
20,0.09176470588235297,-0.014938540115074339,-0.013362542162937113
21,0.11058823529411765,-0.015626048759113775,-0.005034369291324697
22,0.10235294117647054,-0.01564122555037295,-0.014294313882716403
23,0.1047058823529411,-0.015214415014252802,-0.02069504504054706
24,0.11411764705882355,-0.014919373296435667,-0.013277266903575446
25,0.08823529411764708,-0.01568861630501428,-0.01628949016124112
26,0.09999999999999998,-0.015635717843867414,-0.0170022706486766
27,0.09647058823529409,-0.014650009730281521,-0.007717722034302321
28,0.10470588235294115,-0.015752211956129303,-0.0038736277487933235
29,0.08941176470588241,-0.014960546462400193,-0.013052104744997184
30,0.10705882352941176,-0.01614414035104894,-0.016267816043005145
31,0.10117647058823531,-0.015939278147746094,-0.018628546385389272
32,0.0894117647058823,-0.014598016980871154,-0.01676642453165375
33,0.09411764705882353,-0.01489856640519338,-0.012067020842187248
34,0.07647058823529418,-0.016097606350752747,-0.01829522353261598
35,0.11294117647058832,-0.01596081939985583,-0.01646304068600249
36,0.09764705882352942,-0.015497315299062286,-0.014431202459536469
37,0.10352941176470587,-0.01537981756028195,-0.011879136747412866
38,0.09764705882352942,-0.0158207033463601,-0.013402870711823583
39,0.11294117647058832,-0.015394945394149873,-0.015417664538608211
40,0.12352941176470589,-0.015238942667223143,-0.009472998237863323
41,0.0894117647058823,-0.016125463106322013,-0.011391315061237778
42,0.09764705882352931,-0.015522259089857715,-0.01764786372297425
43,0.09882352941176464,-0.015891275425715112,-0.019620173208584973
44,0.0894117647058823,-0.014720434937463112,-0.010229080095774168
45,0.08352941176470585,-0.01652439240817738,-0.012499391285074102
46,0.10823529411764704,-0.014551825682313058,-0.012311986636539957
47,0.10588235294117643,-0.014961256344571905,-0.01290729977983518
48,0.08470588235294119,-0.0148581031214009,-0.011140297907385716
49,0.11411764705882355,-0.015373697886386983,-0.02069151729186261
50,0.11764705882352944,-0.015195664333438996,-0.007667703316416058
51,0.09058823529411764,-0.015091409568966818,-0.008303416078083409
52,0.09176470588235297,-0.015893845688750963,-0.019715193613773718
53,0.10705882352941176,-0.015829711506333277,-0.017172169482937177
54,0.11058823529411765,-0.015316784919165216,-0.009616637769839953
55,0.10705882352941176,-0.015466227355676598,-0.015692034450968978
