experiment,dataset,protocol_id,class_name,precision,recall,f1,support
E3,iscx_vpn,medium_seed2022,AIM,0.2916666666666667,0.1320754716981132,0.18181818181818182,53
E3,iscx_vpn,medium_seed2022,BitTorrent,0.5136612021857924,0.94,0.6643109540636042,100
E3,iscx_vpn,medium_seed2022,Email,0.6111111111111112,0.385,0.4723926380368098,200
E3,iscx_vpn,medium_seed2022,FTPS,0.6410256410256411,0.75,0.6912442396313364,200
E3,iscx_vpn,medium_seed2022,Facebook,0.37948717948717947,0.74,0.5016949152542373,200
E3,iscx_vpn,medium_seed2022,Gmail,0.7441860465116279,0.5925925925925926,0.6597938144329897,54
E3,iscx_vpn,medium_seed2022,ICQ,0.3,0.16981132075471697,0.21686746987951808,53
E3,iscx_vpn,medium_seed2022,Netflix,0.3918918918918919,0.4915254237288136,0.43609022556390975,118
E3,iscx_vpn,medium_seed2022,SCP,0.5853658536585366,0.24,0.3404255319148936,200
E3,iscx_vpn,medium_seed2022,SFTP,0.7058823529411765,0.3870967741935484,0.5,31
E3,iscx_vpn,medium_seed2022,Spotify,0.41025641025641024,0.4050632911392405,0.40764331210191085,79
E3,iscx_vpn,medium_seed2022,Vimeo,0.726027397260274,0.43089430894308944,0.5408163265306123,123
E3,iscx_vpn,medium_seed2022,VoIPBuster,0.47540983606557374,0.435,0.45430809399477806,200
