row_type,scenario,training_method,detector,metric,mean,median,std,min,max,positive_count,negative_count,zero_count
paired_delta,a2,DAP,K1_K2_GAP,dap_k1_minus_native_auroc,0.07876694444444446,0.06724166666666687,0.03426135769599387,0.044426388888888946,0.1319111111111111,5,0,0
paired_delta,a2,DAP,K1_K2_GAP,dap_k2_minus_k1_auroc,0.013792777777777787,0.02338333333333331,0.027789490836032386,-0.03310000000000002,0.03589444444444445,4,1,0
method_metric,a2,B0,Native,auroc,0.8534244444444443,0.8257833333333333,0.0637564874876217,0.7939833333333333,0.9458083333333333,,,
method_metric,a2,B0,Native,binary_f1,0.7979512950800978,0.7938044530493708,0.04273973252222525,0.7432567432567433,0.8615664845173042,,,
method_metric,a2,B0,Native,ufar,0.30533333333333335,0.31666666666666665,0.060706488761727746,0.21166666666666667,0.38,,,
method_metric,a2,B0,Native,known_frr,0.044,0.041666666666666664,0.0066248689714505996,0.03833333333333333,0.05333333333333334,,,
method_metric,a2,B0,K1,auroc,0.9622149999999999,0.9562527777777777,0.019050802837008402,0.9444388888888888,0.9852972222222222,,,
method_metric,a2,B0,K1,binary_f1,0.8730267007966855,0.8408463661453542,0.05436154150575173,0.8235294117647058,0.9496644295302014,,,
method_metric,a2,B0,K1,ufar,0.18866666666666668,0.23833333333333334,0.0871891303113206,0.056666666666666664,0.265,,,
method_metric,a2,B0,K1,known_frr,0.043333333333333335,0.04833333333333333,0.010606601717798213,0.025,0.05,,,
method_metric,a2,B0,K2,auroc,0.961455,0.9606305555555555,0.021274612054172796,0.9333666666666668,0.98365,,,
method_metric,a2,B0,K2,binary_f1,0.8695763622895563,0.8506375227686703,0.07440773487023043,0.7645320197044335,0.947996589940324,,,
method_metric,a2,B0,K2,ufar,0.19033333333333333,0.22,0.11572476926839051,0.07333333333333333,0.35333333333333333,,,
method_metric,a2,B0,K2,known_frr,0.045,0.045,0.010274023338281629,0.028333333333333332,0.055,,,
method_metric,a2,B0,Native,known_test_accuracy,0.9936385879063264,0.9937084935337295,0.0018395941792297634,0.9916113247116393,0.9954561342188046,,,
method_metric,a2,B0,Native,known_test_macro_f1,0.9281457233154289,0.9372766193260776,0.02003037712378691,0.9041308644959355,0.9463360429774405,,,
method_metric,a2,B0,Native,normalized_prototype_gap,1.1263058002001967,1.0370904903842988,0.18946898175765844,0.9429287606696247,1.3808764275853136,,,
method_metric,a2,DAP,Native,auroc,0.7847119444444445,0.7663541666666667,0.04641876586532515,0.7405555555555556,0.845963888888889,,,
method_metric,a2,DAP,Native,binary_f1,0.5738013622640008,0.6736621196222455,0.15651792800664485,0.34210526315789475,0.6872427983539094,,,
method_metric,a2,DAP,Native,ufar,0.5636666666666666,0.465,0.1554581043954358,0.44333333333333336,0.7833333333333333,,,
method_metric,a2,DAP,Native,known_frr,0.04966666666666668,0.05,0.01030102476024163,0.035,0.06333333333333334,,,
method_metric,a2,DAP,K1,auroc,0.8634788888888888,0.8724666666666667,0.037749556534064296,0.8107805555555556,0.9047749999999999,,,
method_metric,a2,DAP,K1,binary_f1,0.6940123005450646,0.7469635627530364,0.1170117621019564,0.5076023391812865,0.783203125,,,
method_metric,a2,DAP,K1,ufar,0.43533333333333335,0.385,0.1300982534685057,0.33166666666666667,0.6383333333333333,,,
method_metric,a2,DAP,K1,known_frr,0.04666666666666667,0.041666666666666664,0.013540064007726603,0.03166666666666667,0.06333333333333334,,,
method_metric,a2,DAP,K2,auroc,0.8772716666666668,0.9000388888888889,0.061286086541313636,0.7776805555555556,0.9360194444444445,,,
method_metric,a2,DAP,K2,binary_f1,0.722975814905105,0.758,0.08325596418627344,0.5869324473975637,0.7883495145631068,,,
method_metric,a2,DAP,K2,ufar,0.403,0.36833333333333335,0.0962159030514187,0.3233333333333333,0.5583333333333333,,,
method_metric,a2,DAP,K2,known_frr,0.046666666666666676,0.04,0.011960583412006103,0.035,0.06333333333333334,,,
method_metric,a2,DAP,Native,known_test_accuracy,0.9690318070604684,0.976232086682978,0.02592240735510795,0.9245019224047536,0.987766515204474,,,
method_metric,a2,DAP,Native,known_test_macro_f1,0.8914846482133868,0.8927384097054634,0.0184053167259164,0.8656234695125002,0.914828548932981,,,
method_metric,a2,DAP,Native,normalized_prototype_gap,1.8773542737096433e-05,1.770325037827182e-05,1.1635178627996395e-05,8.508541151915178e-06,3.771999686844506e-05,,,
paired_delta,a3,DAP-B0,Native,delta_auroc,-0.03640930752764406,-0.043831677313780015,0.05624122692059654,-0.10233604948042796,0.04100653800492304,1,4,0
paired_delta,a3,DAP-B0,Native,delta_binary_f1,-0.15332826638624308,-0.16171569490928306,0.18927354698215662,-0.36598108261256723,0.09353862314863759,1,4,0
paired_delta,a3,DAP-B0,Native,delta_ufar,0.2177997527812114,0.2707045735475896,0.27914302035811883,-0.16563658838071693,0.5142150803461063,4,1,0
paired_delta,a3,DAP-B0,Native,delta_known_frr,0.0019777503090234834,0.001236093943139678,0.007025103702537858,-0.004944375772558719,0.01236093943139678,3,2,0
paired_delta,a3,DAP-B0,Native,delta_known_test_accuracy,-0.08770739064856714,-0.02601809954751133,0.11567832225416817,-0.2861990950226244,-0.015082956259426905,0,5,0
paired_delta,a3,DAP-B0,Native,delta_known_test_macro_f1,-0.09430182271342007,-0.037196488382217674,0.1071572344707591,-0.277838642449347,-0.023658947775655803,0,5,0
paired_delta,a3,DAP-B0,Native,delta_normalized_prototype_gap_mean,-1.1903984957164906,-1.2263709294517147,0.08283006151100342,-1.2800966091372916,-1.0725298414110827,0,5,0
