class,local_label,support,precision,recall,f1
netflix,0,20,1.0,0.8,0.888888888888889
rdp,1,4,0.0,0.0,0.0
rsync,2,191,0.994413407821229,0.9319371727748691,0.9621621621621621
skype,3,126,0.9259259259259259,0.9920634920634921,0.9578544061302682
ssh,4,1356,0.9948567229977957,0.9985250737463127,0.9966875230033125
vimeo,5,121,0.9663865546218487,0.9504132231404959,0.9583333333333334
zoiper,6,93,0.9108910891089109,0.989247311827957,0.9484536082474228
