class_name,tf_strongest_continuous_feature,tf_strongest_effect_size,tf_metadata_rf_macro_f1,tf_metadata_rf_protocol,od_strongest_continuous_feature,od_strongest_effect_size,od_strongest_categorical_feature,od_strongest_categorical_nmi,od_strongest_categorical_ami,od_model_s_macro_f1,od_model_s_plus_macro_f1,cross_encoder_nmi,cross_encoder_ami,cross_encoder_ari,cross_encoder_hungarian_accuracy,cross_encoder_correspondence
FTP,packet_count,0.8892096738491536,0.9996315011411868,Stage2.6 fixed K=4/5; train-only 80/20 diagnostic,total_bytes,0.2510876041464236,src_port,0.18970450583248366,0.09083218329788652,0.9661775857860024,0.9918762821379365,0.21678290936859299,0.2167256991637577,0.2622954380204644,0.7561120459269524,MODERATE_CORRESPONDENCE
Cridex,forward_packet_count,0.9040575974338422,0.850348302949459,Stage2.6 fixed K=4/5; train-only 80/20 diagnostic,backward_packet_count,0.8952058540976606,src_port,0.17125267246331843,-3.5914312464154076e-13,1.0,1.0,0.9876417507198414,0.9876363003699555,0.9951189775959866,0.9987789987789988,HIGH_CORRESPONDENCE
Miuref,backward_packet_count,0.9819551808310608,0.9989832041343668,Stage2.6 fixed K=4/5; train-only 80/20 diagnostic,packet_count,0.9044296548629593,dst_port,0.3667632525550277,0.36599657441654565,0.9983482456849757,0.9991745572583544,0.4722490406307157,0.47195506857608377,0.4315924699471837,0.8286350148367952,MODERATE_CORRESPONDENCE
Outlook,total_bytes,0.8336403065532282,0.6115012646927541,Stage2.6 fixed K=4/5; train-only 80/20 diagnostic,total_bytes,0.3109254744200949,src_port,0.18943749952745623,0.17635295905981366,0.6086367025964341,0.7752686032630323,0.22450992818624466,0.22132595540017652,0.3951692760876192,0.9468791500664011,MODERATE_CORRESPONDENCE
