unknown_service,variant,score,known_acceptance_target,runs,auroc_mean,auroc_std,auprc_mean,auprc_std,ufar_mean,ufar_std,known_test_acceptance_mean,known_test_acceptance_std
Email,E4_FULL,feature_distance,0.9,3,0.6276918410676373,0.01983823493889935,0.646519752999641,0.005338936670679431,0.8154761904761906,0.04319750209737546,0.9171974522292993,0.018015459393287782
Email,E4_FULL,feature_distance,0.95,3,0.6276918410676373,0.01983823493889935,0.646519752999641,0.005338936670679431,0.8829365079365079,0.026767336434984204,0.9723991507430997,0.006005153131095891
Email,E4_FULL,feature_distance,0.99,3,0.6276918410676373,0.01983823493889935,0.646519752999641,0.005338936670679431,0.9781746031746031,0.007423923386456207,0.989384288747346,0.007944070884870412
Email,E4_FULL,msp,0.9,3,0.6456121726822364,0.02879734569528276,0.6838800560697932,0.04824336135630756,0.5753968253968255,0.05939138709164988,0.6878980891719745,0.11710048605637095
Email,E4_FULL,msp,0.95,3,0.6456121726822364,0.02879734569528276,0.6838800560697932,0.04824336135630756,0.878968253968254,0.12676692734097852,0.8832271762208069,0.003002576565547972
Email,E4_FULL,msp,0.99,3,0.6456121726822364,0.02879734569528276,0.6838800560697932,0.04824336135630756,0.878968253968254,0.12676692734097852,0.8832271762208069,0.003002576565547972
Email,E4_FULL,energy,0.9,3,0.5613057324840764,0.009815116021472291,0.5980398403429908,0.010193887713636739,0.8908730158730158,0.023974297566655884,0.7133757961783439,0.01801545939328783
Email,E4_FULL,energy,0.95,3,0.5613057324840764,0.009815116021472291,0.5980398403429908,0.010193887713636739,0.8908730158730158,0.023974297566655884,0.7133757961783439,0.01801545939328783
Email,E4_FULL,energy,0.99,3,0.5613057324840764,0.009815116021472291,0.5980398403429908,0.010193887713636739,0.8988095238095237,0.012858612496840964,0.980891719745223,0.013759534391524048
Email,E4_TIME,feature_distance,0.9,3,0.6629511677282377,0.021376016039229447,0.686474678181401,0.013841037513602772,0.7420634920634921,0.014847846772912454,0.9214437367303608,0.007944070884870313
Email,E4_TIME,feature_distance,0.95,3,0.6629511677282377,0.021376016039229447,0.686474678181401,0.013841037513602772,0.8035714285714285,0.03402069087198857,0.9617834394904459,0.005200615165144705
Email,E4_TIME,feature_distance,0.99,3,0.6629511677282377,0.021376016039229447,0.686474678181401,0.013841037513602772,0.9603174603174603,0.0316217806557723,0.9978768577494691,0.003002576565547972
Email,E4_TIME,msp,0.9,3,0.6462440602567991,0.05972628363019493,0.6799682065964174,0.05906704524239467,0.7242063492063492,0.0028059792904227975,0.9002123142250532,0.006005153131095996
Email,E4_TIME,msp,0.95,3,0.6462440602567991,0.05972628363019493,0.6799682065964174,0.05906704524239467,0.8888888888888888,0.03928371006591927,0.9575371549893843,0.006005153131095996
Email,E4_TIME,msp,0.99,3,0.6462440602567991,0.05972628363019493,0.6799682065964174,0.05906704524239467,0.9781746031746033,0.030865772194650826,0.9936305732484075,0.005200615165144797
Email,E4_TIME,energy,0.9,3,0.6276981599433828,0.04481956695687148,0.6503084561428575,0.03817589700195097,0.7261904761904762,0.0,0.8980891719745224,0.009007729696643967
Email,E4_TIME,energy,0.95,3,0.6276981599433828,0.04481956695687148,0.6503084561428575,0.03817589700195097,0.8888888888888888,0.10393492741038726,0.9532908704883228,0.007944070884870412
Email,E4_TIME,energy,0.99,3,0.6276981599433828,0.04481956695687148,0.6503084561428575,0.03817589700195097,1.0,0.0,0.9915074309978769,0.007944070884870412
Email,E4_LENGTH,feature_distance,0.9,3,0.6777373369730059,0.021539022278600495,0.6574116758434835,0.026025914061036416,0.861111111111111,0.04868192121581463,0.9214437367303611,0.01968921124309063
Email,E4_LENGTH,feature_distance,0.95,3,0.6777373369730059,0.021539022278600495,0.6574116758434835,0.026025914061036416,0.9007936507936508,0.058388646704611774,0.9490445859872612,0.009007729696643967
Email,E4_LENGTH,feature_distance,0.99,3,0.6777373369730059,0.021539022278600495,0.6574116758434835,0.026025914061036416,0.9920634920634921,0.005611958580845648,0.9830148619957536,0.003002576565547972
Email,E4_LENGTH,msp,0.9,3,0.6798225659690629,0.015678708454267245,0.722664271029475,0.020573391385702352,0.4583333333333333,0.024300493479991872,0.6560509554140127,0.12163214936222937
Email,E4_LENGTH,msp,0.95,3,0.6798225659690629,0.015678708454267245,0.722664271029475,0.020573391385702352,0.7242063492063492,0.1248897220782239,0.8556263269639066,0.013087927819467039
Email,E4_LENGTH,msp,0.99,3,0.6798225659690629,0.015678708454267245,0.722664271029475,0.020573391385702352,0.7242063492063492,0.1248897220782239,0.8556263269639066,0.013087927819467039
Email,E4_LENGTH,energy,0.9,3,0.5070771408351026,0.014178081565707613,0.5788240644885297,0.013277803536145836,0.8809523809523809,0.0145802960879951,0.70276008492569,0.003002576565547972
Email,E4_LENGTH,energy,0.95,3,0.5070771408351026,0.014178081565707613,0.5788240644885297,0.013277803536145836,0.8809523809523809,0.0145802960879951,0.70276008492569,0.003002576565547972
