protocol_id,unknown_service,seed,baseline,e4_accuracy,baseline_accuracy,delta_accuracy,e4_macro_f1,baseline_macro_f1,delta_macro_f1,e4_weighted_f1,baseline_weighted_f1,delta_weighted_f1,e4_auroc,baseline_auroc,delta_auroc,e4_auprc,baseline_auprc,delta_auprc,e4_ufar95,baseline_ufar95,delta_ufar95,e4_known_acceptance95,baseline_known_acceptance95,delta_known_acceptance95
loso_email,Email,2022,E0_OD_NATIVE,0.7452229299363057,0.89171974522293,-0.14649681528662428,0.7539614946457053,0.861277516431455,-0.10731602178574973,0.7446487092078778,0.8926490975636034,-0.1480003883557256,0.6544585987261147,0.694570821959357,-0.04011222323324237,0.6479330413239015,0.6812400993119683,-0.03330705798806677,0.9166666666666666,0.8392857142857143,0.07738095238095233,0.9681528662420382,0.9617834394904459,0.006369426751592355
loso_email,Email,2022,E3_DES_V1,0.7452229299363057,0.9426751592356688,-0.19745222929936312,0.7539614946457053,0.9168148244632418,-0.16285332981753653,0.7446487092078778,0.941792042046649,-0.19714333283877117,0.6544585987261147,0.8144904458598725,-0.16003184713375784,0.6479330413239015,0.7503579328663281,-0.10242489154242662,0.9166666666666666,0.9285714285714286,-0.011904761904761973,0.9681528662420382,0.9490445859872612,0.019108280254777066
loso_email,Email,2023,E0_OD_NATIVE,0.7515923566878981,0.4968152866242038,0.2547770700636943,0.7629721585603939,0.3659479589564383,0.39702419960395563,0.7507570486214173,0.4338490346462032,0.3169080139752141,0.6070291173794359,0.5088717015468608,0.09815741583257509,0.6522363735249319,0.5530661896017046,0.0991701839232273,0.8511904761904762,0.9285714285714286,-0.07738095238095244,0.9808917197452228,0.9554140127388536,0.0254777070063692
loso_email,Email,2023,E3_DES_V1,0.7515923566878981,0.9681528662420382,-0.21656050955414008,0.7629721585603939,0.9439536637553052,-0.1809815051949113,0.7507570486214173,0.9676416856181076,-0.21688463699669025,0.6070291173794359,0.7663406126781923,-0.15931149529875643,0.6522363735249319,0.7683055660639826,-0.11606919253905068,0.8511904761904762,0.6785714285714286,0.17261904761904756,0.9808917197452228,0.9363057324840764,0.044585987261146376
loso_email,Email,2024,E0_OD_NATIVE,0.732484076433121,0.9044585987261148,-0.17197452229299381,0.7321568627450981,0.8670440929786724,-0.1348872302335743,0.7304920694392407,0.9006499929025079,-0.1701579234632672,0.6215878070973613,0.6038064907491658,0.017781316348195464,0.6393898441500898,0.5830023886656035,0.056387455484486315,0.8809523809523809,0.9940476190476192,-0.11309523809523825,0.9681528662420382,0.9617834394904459,0.006369426751592355
loso_email,Email,2024,E3_DES_V1,0.732484076433121,0.9171974522292994,-0.18471337579617841,0.7321568627450981,0.8616708796287149,-0.12951401688361686,0.7304920694392407,0.9148514967339731,-0.18435942729473243,0.6215878070973613,0.8247270245677889,-0.20313921747042762,0.6393898441500898,0.7710848099732035,-0.13169496582311369,0.8809523809523809,0.8095238095238095,0.0714285714285714,0.9681528662420382,0.9490445859872612,0.019108280254777066
loso_streaming,Streaming,2022,E0_OD_NATIVE,0.8205128205128205,0.9487179487179488,-0.1282051282051283,0.8052372602879304,0.9107019725228336,-0.10546471223490317,0.8215509019693393,0.9472078853681434,-0.12565698339880405,0.5538068982745392,0.8190764234605571,-0.2652695251860179,0.927084499751334,0.958665405300955,-0.03158090554962101,0.8162839248434238,0.7494780793319415,0.06680584551148228,0.9230769230769232,0.9230769230769231,1.1102230246251565e-16
loso_streaming,Streaming,2022,E3_DES_V1,0.8205128205128205,0.9743589743589745,-0.15384615384615397,0.8052372602879304,0.954875593942373,-0.14963833365444257,0.8215509019693393,0.974310360659634,-0.15275945869029461,0.5538068982745392,0.7544920864336313,-0.2006851881590921,0.927084499751334,0.9510121072202512,-0.0239276074689172,0.8162839248434238,0.8382045929018789,-0.02192066805845505,0.9230769230769232,0.9316239316239316,-0.008547008547008406
loso_streaming,Streaming,2023,E0_OD_NATIVE,0.7777777777777778,0.5042735042735043,0.27350427350427353,0.7716123616678658,0.2550088592067602,0.5166035024611056,0.7775509029748932,0.4014752530494659,0.37607564992542725,0.5711507235515586,0.4697642881358956,0.101386435415663,0.9281778543202908,0.9024222770748562,0.025755577245434536,0.8204592901878914,0.9144050104384134,-0.09394572025052195,0.9145299145299144,0.9914529914529915,-0.0769230769230771
loso_streaming,Streaming,2023,E3_DES_V1,0.7777777777777778,0.7264957264957265,0.05128205128205132,0.7716123616678658,0.5962008783243193,0.1754114833435465,0.7775509029748932,0.6880773850836087,0.08947351789128444,0.5711507235515586,0.602831754188748,-0.03168103063718941,0.9281778543202908,0.929522411542956,-0.0013445572226652436,0.8204592901878914,0.7546972860125261,0.06576200417536537,0.9145299145299144,0.9572649572649573,-0.042735042735042916
loso_streaming,Streaming,2024,E0_OD_NATIVE,0.8290598290598291,0.9401709401709402,-0.11111111111111105,0.8179890206411946,0.9182424124765418,-0.1002533918353472,0.8301070909766562,0.9379795697015656,-0.10787247872490935,0.5563585104294917,0.810119015755759,-0.25376050532626726,0.9184132268356124,0.9670099445267538,-0.04859671769114138,0.8799582463465553,0.930062630480167,-0.050104384133611735,0.9230769230769232,1.0,-0.07692307692307676
loso_streaming,Streaming,2024,E3_DES_V1,0.8290598290598291,0.9145299145299144,-0.08547008547008528,0.8179890206411946,0.8341759280787414,-0.016186907437546805,0.8301070909766562,0.9084693349654986,-0.0783622439888424,0.5563585104294917,0.8055867815784309,-0.2492282711489392,0.9184132268356124,0.9647552293460052,-0.04634200251039278,0.8799582463465553,0.7588726513569938,0.1210855949895615,0.9230769230769232,0.9572649572649573,-0.03418803418803407
