unknown_service,variant,runs,known_test_accuracy_mean,known_test_accuracy_std,known_test_macro_f1_mean,known_test_macro_f1_std,known_test_weighted_f1_mean,known_test_weighted_f1_std,best_val_macro_f1_mean,best_val_macro_f1_std
Email,E4_FULL,3,0.7430997876857749,0.007944070884870402,0.749696838650399,0.012936668353038796,0.7419659424228454,0.008487845173370697,0.7448653540302157,0.013169136367997714
Email,E4_TIME,3,0.6348195329087049,0.013087927819467039,0.5881274644865031,0.02090547336384232,0.6232880441638318,0.015317235027296485,0.5962268759259183,0.015973535691764643
Email,E4_LENGTH,3,0.6857749469214437,0.007944070884870362,0.6743011648140677,0.009855601591792159,0.681877989551486,0.007666976975654223,0.6850770606920374,0.008870046801570105
Email,E4_TIME_LENGTH,3,0.7282377919320594,0.015888141769740724,0.7487094073055754,0.01925134545977804,0.7233159495259952,0.01788142970977158,0.7562239538212915,0.003105757323057986
Email,E4_NO_MS,3,0.7261146496815286,0.015601845495434252,0.737331555152766,0.014707039147180925,0.7238854965807769,0.012223593769628187,0.7708528932524673,0.006315664460036914
Email,E4_NO_RNN,3,0.7112526539278131,0.02565402542164452,0.7167999698419788,0.02948261677431805,0.7082602937882515,0.027057388611482984,0.7583658057877226,0.006759646562834932
Email,E4_BASE,3,0.7388535031847133,0.005200615165144751,0.7396708112957106,0.009150766996143667,0.7371307227631969,0.005873658364986628,0.7492814508662119,0.006662491004225172
Streaming,E4_FULL,3,0.8091168091168092,0.02243307086613052,0.7982795475323302,0.019561969046667897,0.8097362986402962,0.02302501340117082,0.7565292496095197,0.00770318654192895
Streaming,E4_TIME,3,0.6923076923076922,0.006978603255792505,0.6073610362957366,0.01825955375397719,0.6760727873536464,0.012667462817540234,0.6637311326429153,0.013543131462251128
Streaming,E4_LENGTH,3,0.7777777777777778,0.006978603255792505,0.7620543349621184,0.009750307735450736,0.7782185948228711,0.007146166094641592,0.7374545592270945,0.002982992422004311
Streaming,E4_TIME_LENGTH,3,0.8119658119658121,0.0139572065115851,0.7992222590081935,0.016416789644855066,0.81162951817454,0.014398361879261915,0.7574840070302294,0.010766418549786013
Streaming,E4_NO_MS,3,0.8148148148148149,0.004029098468299401,0.7878628843620802,0.01303855642742151,0.8164042181602107,0.003692607500529925,0.7581856841207432,0.013443612551213202
Streaming,E4_NO_RNN,3,0.8176638176638177,0.004029098468299402,0.7990653189649931,0.005046878711127884,0.8187012105905933,0.0043357158361577944,0.7655438603813861,0.004653411607068482
Streaming,E4_BASE,3,0.8233618233618234,0.004029098468299454,0.8055625744463356,0.004719753499624481,0.8248414962911657,0.004075105050413265,0.7583767751626694,0.005118638791815123
