protocol_id,unknown_service,seed,variant,local_label,service,precision,recall,f1,support
loso_email,Email,2023,E4_TIME_LENGTH,2,P2P,0.9629629629629628,0.52,0.6753246753246753,50
loso_email,Email,2023,E4_TIME_LENGTH,3,Streaming,0.6338028169014085,0.8653846153846154,0.7317073170731707,52
loso_email,Email,2023,E4_TIME_LENGTH,4,VoIP,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
loso_email,Email,2023,E4_NO_MS,0,Chat,0.6666666666666666,0.8888888888888888,0.7619047619047619,9
loso_email,Email,2023,E4_NO_MS,1,File-Transfer,0.5925925925925926,0.7272727272727273,0.6530612244897959,22
loso_email,Email,2023,E4_NO_MS,2,P2P,1.0,0.5,0.6666666666666666,50
loso_email,Email,2023,E4_NO_MS,3,Streaming,0.6617647058823529,0.8653846153846154,0.75,52
loso_email,Email,2023,E4_NO_MS,4,VoIP,0.92,0.9583333333333334,0.9387755102040816,24
loso_email,Email,2023,E4_NO_RNN,0,Chat,0.7,0.7777777777777778,0.7368421052631579,9
loso_email,Email,2023,E4_NO_RNN,1,File-Transfer,0.5517241379310345,0.7272727272727273,0.6274509803921569,22
loso_email,Email,2023,E4_NO_RNN,2,P2P,0.8709677419354839,0.54,0.6666666666666666,50
loso_email,Email,2023,E4_NO_RNN,3,Streaming,0.6615384615384615,0.8269230769230769,0.7350427350427351,52
loso_email,Email,2023,E4_NO_RNN,4,VoIP,0.9545454545454546,0.875,0.9130434782608696,24
loso_email,Email,2023,E4_BASE,0,Chat,0.7,0.7777777777777778,0.7368421052631579,9
loso_email,Email,2023,E4_BASE,1,File-Transfer,0.5333333333333333,0.7272727272727273,0.6153846153846154,22
loso_email,Email,2023,E4_BASE,2,P2P,1.0,0.54,0.7012987012987013,50
loso_email,Email,2023,E4_BASE,3,Streaming,0.6666666666666666,0.8461538461538461,0.7457627118644068,52
loso_email,Email,2023,E4_BASE,4,VoIP,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
loso_email,Email,2024,E4_FULL,0,Chat,0.8333333333333334,0.5555555555555556,0.6666666666666666,9
loso_email,Email,2024,E4_FULL,1,File-Transfer,0.5517241379310345,0.7272727272727273,0.6274509803921569,22
loso_email,Email,2024,E4_FULL,2,P2P,0.9,0.54,0.675,50
loso_email,Email,2024,E4_FULL,3,Streaming,0.6470588235294118,0.8461538461538461,0.7333333333333333,52
loso_email,Email,2024,E4_FULL,4,VoIP,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
loso_email,Email,2024,E4_TIME,0,Chat,0.3529411764705882,0.6666666666666666,0.4615384615384615,9
loso_email,Email,2024,E4_TIME,1,File-Transfer,0.8,0.3636363636363636,0.5,22
loso_email,Email,2024,E4_TIME,2,P2P,0.8571428571428571,0.48,0.6153846153846154,50
loso_email,Email,2024,E4_TIME,3,Streaming,0.5641025641025641,0.8461538461538461,0.676923076923077,52
loso_email,Email,2024,E4_TIME,4,VoIP,0.8333333333333334,0.8333333333333334,0.8333333333333334,24
