comparison,runs,delta_accuracy_mean,delta_accuracy_std,delta_macro_f1_mean,delta_macro_f1_std,delta_weighted_f1_mean,delta_weighted_f1_std,delta_auroc_mean,delta_auroc_std,delta_auprc_mean,delta_auprc_std,delta_ufar95_mean,delta_ufar95_std
multi_scale_conditional_on_recurrent,6,0.00564356615312032,0.02164706585187735,0.011390973333941623,0.021395764990143888,0.005706263161076956,0.02194333821083906,0.00983890660000658,0.023811762549856504,0.01984046465834473,0.014995107378687558,-0.05260421844451074,0.0377652699476831
recurrent_conditional_on_multiscale,6,0.011650062605476649,0.03000465202053748,0.016055548687878802,0.024016072598896307,0.012370368342148367,0.03133504012825009,-0.007518946303801973,0.043590694488044514,-0.014213951790524001,0.034364029993329416,0.029343539781953126,0.037389286432047524
joint_modules_vs_base,6,-0.004999364871976312,0.017811812032656405,0.0013715002203416222,0.015167318982148204,-0.005134988995610527,0.018913480678719504,0.0014278315102417838,0.03832881472218824,0.01356148627182526,0.02275555228682069,-0.05275540974914674,0.03648009431074261
time_information_vs_length_only,6,0.03832543959932494,0.020210150994660808,0.05578808326879151,0.029690077994061894,0.03742444166308909,0.02170880141541932,-0.035382964338591096,0.07165743115347017,-0.04657754475934558,0.05382651308472841,0.049820641548198985,0.04715041154830592
length_information_vs_time_only,6,0.10653818934073711,0.026330680752919097,0.17622158276576463,0.03381985459129001,0.11779231809152858,0.03136615230171963,-0.03130578595486911,0.07267767033456315,-0.07058781481485238,0.0655238787951733,0.07529326970871862,0.08911539218065342
direction_information_vs_time_length,6,0.006006496452356347,0.022770196068901218,2.235993448015024e-05,0.020999637327100442,0.008378386681303177,0.02444391135985092,0.03547932135887408,0.034370265678450806,0.04832195811506936,0.05023966786935078,-0.07719040991483583,0.04658055543198925
