unknown_service,variant,service,runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
Email,E4_FULL,Chat,3,0.7703703703703705,0.05468452985271634,0.7037037037037037,0.10475656017578482,0.7270955165692007,0.04588149043251394
Email,E4_FULL,File-Transfer,3,0.5582922824302134,0.009288759030365145,0.7272727272727272,1.1102230246251565e-16,0.6316339869281046,0.005915664574632565
Email,E4_FULL,P2P,3,0.9666666666666667,0.04714045207910316,0.54,0.0,0.6925324675324674,0.012397326683140752
Email,E4_FULL,Streaming,3,0.6519607843137255,0.0069324194233975,0.8525641025641026,0.009065471553673706,0.7388888888888889,0.007856742013183886
Email,E4_FULL,VoIP,3,0.9583333333333334,0.0,0.9583333333333334,0.0,0.9583333333333334,0.0
Email,E4_TIME,Chat,3,0.3315359477124183,0.046745164751162374,0.4814814814814814,0.13857990321384966,0.38260432378079434,0.0563859643042698
Email,E4_TIME,File-Transfer,3,0.8666666666666667,0.09428090415820632,0.3636363636363636,0.0,0.5111111111111111,0.01571348402636772
Email,E4_TIME,P2P,3,0.8068783068783069,0.035689781913312256,0.4466666666666666,0.02494438257849294,0.574980574980575,0.02956689602244051
Email,E4_TIME,Streaming,3,0.5653548631396733,0.007417021968858954,0.858974358974359,0.01813094310734736,0.6818828330278711,0.010874602787551561
Email,E4_TIME,VoIP,3,0.7463092463092463,0.08202972038988875,0.8472222222222223,0.019641855032959635,0.7900584795321638,0.040014702677324016
Email,E4_LENGTH,Chat,3,0.5,0.03140371465106639,0.7037037037037037,0.05237828008789243,0.5844155844155844,0.03823273102306428
Email,E4_LENGTH,File-Transfer,3,0.5855379188712522,0.009976815254836648,0.7272727272727272,1.1102230246251565e-16,0.6487074829931972,0.006157120271556301
Email,E4_LENGTH,P2P,3,0.9139153439153439,0.03262701748265192,0.48666666666666664,0.009428090415820642,0.6348007548007549,0.008088925308726756
Email,E4_LENGTH,Streaming,3,0.6436251920122887,0.006570533044860973,0.7756410256410257,0.009065471553673654,0.703483346046275,0.007204458987409042
Email,E4_LENGTH,VoIP,3,0.7475521498510004,0.02242178643212209,0.8611111111111112,0.019641855032959635,0.800098655814527,0.01689795844909174
Email,E4_TIME_LENGTH,Chat,3,0.8425925925925926,0.045830995076905856,0.7777777777777778,0.0,0.8082788671023966,0.0215675270950145
Email,E4_TIME_LENGTH,File-Transfer,3,0.5855379188712522,0.009976815254836648,0.7272727272727272,1.1102230246251565e-16,0.6487074829931972,0.006157120271556301
Email,E4_TIME_LENGTH,P2P,3,0.9609449192782527,0.0019360762619063973,0.49333333333333335,0.02494438257849294,0.6516136779294674,0.022369521974571996
Email,E4_TIME_LENGTH,Streaming,3,0.6285208837566462,0.004333462576780471,0.8461538461538461,0.01570185732553323,0.7212541980452998,0.008558415165454662
Email,E4_TIME_LENGTH,VoIP,3,0.8859211775878443,0.05859846477455864,0.9444444444444445,0.01964185503295969,0.9136928104575164,0.03927775588976973
Email,E4_NO_MS,Chat,3,0.7579365079365079,0.07796382025550992,0.7407407407407406,0.10475656017578482,0.7392623716153128,0.024098410376572316
Email,E4_NO_MS,File-Transfer,3,0.5369248035914702,0.04405959738320197,0.7272727272727272,1.1102230246251565e-16,0.616754673897531,0.029100980252950995
Email,E4_NO_MS,P2P,3,0.9761904761904763,0.033671751485073675,0.5,0.016329931618554536,0.6606606606606606,0.008493775149387924
Email,E4_NO_MS,Streaming,3,0.6391779788838612,0.016143960342193092,0.8397435897435898,0.036261886214694776,0.7255537174892014,0.020064280249956618
Email,E4_NO_MS,VoIP,3,0.9449516908212562,0.01765900383220334,0.9444444444444445,0.01964185503295969,0.9444263521011242,0.009891073043576146
Email,E4_NO_RNN,Chat,3,0.6461538461538461,0.07614996105085896,0.7777777777777778,0.0,0.7033492822966507,0.04736600448139551
Email,E4_NO_RNN,File-Transfer,3,0.523301985370951,0.028208263567746476,0.7272727272727272,1.1102230246251565e-16,0.6082179258649847,0.019306461015703765
Email,E4_NO_RNN,P2P,3,0.956989247311828,0.060826389779487955,0.49333333333333335,0.04109609335312652,0.6481481481481481,0.026189140043946166
Email,E4_NO_RNN,Streaming,3,0.6505294042607476,0.012317783017332098,0.8012820512820512,0.05047440944879367,0.7177033206444973,0.027730082053611604
Email,E4_NO_RNN,VoIP,3,0.8892163009404389,0.06940992937099612,0.9305555555555557,0.039283710065919325,0.9065811722556126,0.02928351593536845
Email,E4_BASE,Chat,3,0.7055555555555556,0.034246744460938776,0.7037037037037037,0.05237828008789243,0.7031303749570004,0.028715014454364234
Email,E4_BASE,File-Transfer,3,0.546031746031746,0.01795826745870596,0.7272727272727272,1.1102230246251565e-16,0.6235897435897436,0.01160380358870231
Email,E4_BASE,P2P,3,0.9876543209876543,0.017459426695964213,0.5266666666666667,0.009428090415820642,0.6869446343130554,0.010778652241982113
Email,E4_BASE,Streaming,3,0.6602017618641659,0.006018974021021616,0.858974358974359,0.009065471553673706,0.7465214549189896,0.0025867154183416507
Email,E4_BASE,VoIP,3,0.9331568190263843,0.03433194439970867,0.9444444444444445,0.01964185503295969,0.9381678486997637,0.015713137244656908
Streaming,E4_FULL,Chat,3,0.7783068783068782,0.06415439370914784,0.7407407407407408,0.05237828008789243,0.7548732943469786,0.017063490643286175
Streaming,E4_FULL,Email,3,0.8727272727272727,0.038569460791993485,0.75,0.0,0.8063241106719369,0.016769330779127616
Streaming,E4_FULL,File-Transfer,3,0.6711111111111111,0.00628539361054713,0.7424242424242425,0.021427478217774146,0.7049028677150786,0.013082456636198874
Streaming,E4_FULL,P2P,3,0.8450252525252525,0.006474601709700371,0.7999999999999999,0.043204937989385725,0.8213229121435809,0.02414130386538465
