class,local_label,support,precision,recall,f1
netflix,0,20,0.0,0.0,0.0
rdp,1,4,0.0,0.0,0.0
rsync,2,191,0.0,0.0,0.0
scp,3,229,0.3611111111111111,0.45414847161572053,0.40232108317214704
skype,4,126,0.6972477064220184,0.6031746031746031,0.6468085106382979
ssh,5,1356,0.8079734219269104,0.8967551622418879,0.8500524292205524
youtube,6,34,0.27586206896551724,0.47058823529411764,0.34782608695652173
