protocol_id,version,seed_mode,training_seed,split,loss,rec,kld,ent,dis,accuracy,macro_f1,weighted_f1,samples,checkpoint_sha256,known_test_samples_used,unknown_test_samples_used
medium_seed2025,original_f2,protocol,2025,train,0.2267322102737135,0.04690438203069548,7.166189015913665,1.9459102153778076,0.1818464249144752,0.8918746816097809,0.6901094962277202,0.8643706233943498,15704,9ae4fde544c0a2613be94661879684123ba15d150c6b252aeb1ddd49d4799b4e,0,0
medium_seed2025,original_f2,protocol,2025,validation,0.23039951470433448,0.046697332177843366,7.113030492043008,1.9459102178106502,0.18580033085784134,0.8933673469387755,0.6533132331111181,0.864172968556506,1960,9ae4fde544c0a2613be94661879684123ba15d150c6b252aeb1ddd49d4799b4e,0,0
medium_seed2025,cleaned_primary,protocol,2025,train,0.1779767612428976,0.001678894946215958,1.1806071019573474,1.9459102153778076,0.16315153873489027,0.8955680081507896,0.7486627332879741,0.8678593271406789,15704,6e8fc74151bbc7b20b74a514044c2903d8d556dc5d54f2a47d0a05c12b6e90dc,0,0
medium_seed2025,cleaned_primary,protocol,2025,validation,0.1869962985418281,0.0016769188931401895,1.2993883366487464,1.9459102178106502,0.17161952287566906,0.8928571428571429,0.7272468793361633,0.8644142283417892,1960,6e8fc74151bbc7b20b74a514044c2903d8d556dc5d54f2a47d0a05c12b6e90dc,0,0
medium_seed2025,cleaned_fixed2022_control,fixed2022,2022,train,0.16677860576722067,0.04690438203069548,0.9776299979938151,1.9459102153778076,0.15268983125973207,0.901553744268976,0.8074504658285907,0.8802038742510663,15704,a28da321926dbf6b4d723f9f51b66dd08d84f17b4d7bd8f135657ef7df8ba956,0,0
medium_seed2025,cleaned_fixed2022_control,fixed2022,2022,validation,0.18100639654665576,0.046697332177843366,1.1532368659973145,1.9459102178106502,0.16610770979706121,0.8979591836734694,0.7661334053750236,0.8739748412235578,1960,a28da321926dbf6b4d723f9f51b66dd08d84f17b4d7bd8f135657ef7df8ba956,0,0
medium_seed2026,original_f2,protocol,2026,train,0.15112758678284965,0.051576572227328706,14.596007484483819,1.9459102153778076,0.0685026296929676,0.978731732776618,0.7232048226341871,0.9751018291926912,15328,e064bf722457a7974a02542f33405ba06420df1e5d2108bad905656e5b4d6f24,0,0
medium_seed2026,original_f2,protocol,2026,validation,0.1608731372234149,0.05167814885319246,14.506041142031012,1.9459102153778076,0.07874873891854897,0.9754055468341183,0.7325551956029132,0.9724954567892332,1911,e064bf722457a7974a02542f33405ba06420df1e5d2108bad905656e5b4d6f24,0,0
medium_seed2026,cleaned_primary,protocol,2026,train,0.028631120165790547,0.051576572227328706,1.038628200399602,1.9459102153778076,0.013518136049113817,0.997651356993737,0.9780872519233814,0.9976585428357464,15328,06b0aab07df4096ec37d6717d207611ca2d1c5116a5f3cf0c2d6db128a9f6e64,0,0
medium_seed2026,cleaned_primary,protocol,2026,validation,0.04514962212537858,0.05167814885319246,1.1564616586823915,1.9459102153778076,0.029527007896026226,0.9947671376242805,0.9806677879116249,0.9948026058408712,1911,06b0aab07df4096ec37d6717d207611ca2d1c5116a5f3cf0c2d6db128a9f6e64,0,0
medium_seed2026,cleaned_fixed2022_control,fixed2022,2022,train,0.01981767627463087,0.051576572227328706,1.2661109294174608,1.9459102153778076,0.0035172745601299835,0.9984342379958246,0.9809923860791996,0.9984392607707206,15328,824b59156076c891cbf24a623b513b7084e2a1e4ed594fe3eba99c3688f2baef,0,0
medium_seed2026,cleaned_fixed2022_control,fixed2022,2022,validation,0.0461003229388512,0.05167814885319246,1.4748785674166518,1.9459102153778076,0.02888239954448632,0.9958137100994244,0.9809918063693518,0.9958563069105548,1911,824b59156076c891cbf24a623b513b7084e2a1e4ed594fe3eba99c3688f2baef,0,0
