setting,known_classes,train_n,val_n,Native_threshold,Single_threshold,Multi_threshold,mean_DeltaNLL2,median_DeltaNLL2,classes_K2_better_count,min_component_weight,n_component_val_lt_30,fallback_rate,Native_val_acceptance,Single_val_acceptance,Multi_val_acceptance,Class_val_acceptance,Component_val_acceptance,Class_per_class_acceptance_min,Class_per_class_acceptance_max,Component_per_class_acceptance_min,Component_per_class_acceptance_max,Class_mean_component_coverage_gap,Component_mean_component_coverage_gap,known_test_opened,unknown_test_opened
low,38,75692,16242,-36.656842422485354,-83.87157440185547,-72.2807846069336,18.240957556586515,17.130226135253906,37,0.06724045425653458,2,0.02631578947368421,0.9499445881049132,0.9500061568772319,0.9500061568772319,0.9684152198005171,0.971924639822682,0.9509043927648578,0.9955257270693513,0.949874686716792,0.9977628635346756,0.03800792424266802,0.019874081514670894,0,0
medium,34,56641,12168,-39.68401126861572,-75.09012603759766,-65.26948547363281,17.787340795292575,17.094158053398132,34,0.07072368264198303,2,0.029411764705882353,0.9499506903353058,0.9500328731097962,0.9500328731097962,0.974112426035503,0.9760848126232742,0.9493975903614458,1.0,0.9493975903614458,1.0,0.028107706971814608,0.01920368564287238,0,0
high,30,49976,10740,-38.05300025939941,-70.98883819580078,-55.82355880737305,17.97859127918879,17.007143080234528,30,0.06574394553899765,4,0.06666666666666667,0.95,0.95,0.95,0.9672253258845438,0.9686219739292365,0.9497816593886463,0.9886039886039886,0.9472295514511874,0.9943019943019943,0.03887874218911375,0.024946083181293096,0,0
