setting,known_classes,validation_n,global_threshold,global_acceptance,global_FRR,local_acceptance,local_FRR,dgsbv2_acceptance,dgsbv2_FRR,global_exclusive_count,global_exclusive_rate,local_exclusive_count,local_exclusive_rate,both_fail_count,both_fail_rate,gate_status,per_class_min,per_class_median,per_class_max,component_gap_mean,component_gap_max,fallback_component_count,fallback_rate,known_collapse
low,38,16242,-104.15931701660156,0.9750030784386159,0.02499692156138411,0.9845462381480113,0.015453761851988657,0.9681689447112425,0.031831055288757515,266,0.016377293436768872,111,0.006834133727373477,140,0.008619628124615196,DUAL_GATE_ACTIVE,0.9177777777777778,0.9772222222222222,0.9906103286384976,0.029916161322933732,0.14380073213433076,2,0.02631578947368421,False
medium,34,12168,-91.5276870727539,0.9750164365548981,0.024983563445101886,0.9853714661406969,0.014628533859303072,0.9689349112426036,0.031065088757396442,200,0.01643655489809336,74,0.0060815253122945435,104,0.008547008547008548,DUAL_GATE_ACTIVE,0.9322033898305084,0.973413654618474,0.9891696750902527,0.027481476582465254,0.09999999999999998,2,0.029411764705882353,False
high,30,10740,-90.36107635498047,0.9749534450651769,0.025046554934823106,0.9832402234636871,0.016759776536312887,0.968901303538175,0.03109869646182495,154,0.014338919925512105,65,0.006052141527001862,115,0.010707635009310988,DUAL_GATE_ACTIVE,0.9350961538461539,0.9733332016454402,0.9950738916256158,0.03472381125089162,0.19058823529411761,4,0.06666666666666667,False
