setting,num_known_classes,num_unknown_classes,native_ufar,single_ufar,multi_ufar,delta_ufar_multi_minus_single,native_auroc,single_auroc,multi_auroc,native_auprc,single_auprc,multi_auprc,single_known_frr,multi_known_frr,delta_ufar_ci_2_5pct,delta_ufar_ci_97_5pct
A-1,19,1,0.004705882352941176,0.5223529411764706,0.6235294117647059,0.10117647058823531,0.9939038256529387,0.9557669726095636,0.9402324986506119,0.5559425668000116,0.1859124139610805,0.1712421829132807,0.047647780945048956,0.047418905141382806,0.08235294117647052,0.12235294117647055
A-2,17,3,0.9517834737408137,0.618211148951425,0.6208998028320487,0.0026886538806236704,0.6188148096175099,0.5581716893838436,0.5767981066727543,0.13586529920044893,0.40751180264840564,0.42285119186827863,0.04922459152589309,0.049386134957998706,-0.001075461552249471,0.006094282129413875
A-3,15,5,0.3833689113137978,0.11643702697457792,0.09353774500291093,-0.02289928197166699,0.9283389491255447,0.9769630651626352,0.9675012484821098,0.8084207522479374,0.933100404572691,0.930243163449658,0.04758450977852613,0.048594741613780634,-0.0257156025616146,-0.020085387153114698
MEAN,17.0,3.0,0.44661942246918424,0.41900037236749127,0.44598898653322183,0.026988614165730663,0.8470191947986644,0.8303005757186809,0.8281772846018254,0.5000762060827993,0.508841540394059,0.5081121794104058,0.04815229408315606,0.04846659390438738,0.018520625687535482,0.03612061205092324
STD,1.632993161855452,1.632993161855452,0.3892209838453615,0.21749426426302235,0.24922297506848207,0.05348871622887615,0.16356980022902487,0.19261865030548253,0.1781001862277987,0.27739682412363387,0.31334034759055657,0.3156714527387503,0.0007586686428226638,0.0008082139421435022,0.04624361226338582,0.061905060163383416
