experiment,dataset,protocol_id,class_name,precision,recall,f1,support
E0,iscx_vpn,medium_seed2022,AIM,0.8085106382978723,0.7169811320754716,0.76,53
E0,iscx_vpn,medium_seed2022,BitTorrent,0.979381443298969,0.95,0.9644670050761421,100
E0,iscx_vpn,medium_seed2022,Email,0.8018867924528302,0.85,0.8252427184466019,200
E0,iscx_vpn,medium_seed2022,FTPS,0.8040201005025126,0.8,0.8020050125313283,200
E0,iscx_vpn,medium_seed2022,Facebook,0.837696335078534,0.8,0.8184143222506394,200
E0,iscx_vpn,medium_seed2022,Gmail,0.7368421052631579,0.7777777777777778,0.7567567567567568,54
E0,iscx_vpn,medium_seed2022,ICQ,0.7058823529411765,0.6792452830188679,0.6923076923076923,53
E0,iscx_vpn,medium_seed2022,Netflix,0.646551724137931,0.635593220338983,0.6410256410256411,118
E0,iscx_vpn,medium_seed2022,SCP,0.8155339805825242,0.84,0.8275862068965517,200
E0,iscx_vpn,medium_seed2022,SFTP,0.875,0.6774193548387096,0.7636363636363637,31
E0,iscx_vpn,medium_seed2022,Spotify,0.5888888888888889,0.6708860759493671,0.6272189349112426,79
E0,iscx_vpn,medium_seed2022,Vimeo,0.6875,0.7154471544715447,0.701195219123506,123
E0,iscx_vpn,medium_seed2022,VoIPBuster,0.8341968911917098,0.805,0.8193384223918575,200
