class,local_label,support,precision,recall,f1
netflix,0,20,0.0,0.0,0.0
rdp,1,4,0.0,0.0,0.0
rsync,2,191,0.0,0.0,0.0
scp,3,229,0.5207100591715976,0.38427947598253276,0.44221105527638194
skype,4,126,0.8823529411764706,0.23809523809523808,0.37499999999999994
ssh,5,1356,0.7839285714285714,0.9712389380530974,0.8675889328063241
youtube,6,34,0.22077922077922077,0.5,0.3063063063063063
